a	a	art_def
piramido	piramidar	ver
pirandello	pirandello	nom
pirando	pirar	ver
piranga	pirangar	ver
pirangueiro	pirangueiro	adj
piranha	piranha	nom
piranhas	piranha	nom
pirapora	pirapora	nom
pirar	pirar	ver
pirara	pirar	ver
piraram	pirar	ver
pirarucu	pirarucu	nom
piras	pira	nom
pirassununga	pirassununga	nom
pirata	pirata	adj
pirataria	pirataria	nom
piratas	pirata	nom
pirateada	piratear	ver
pirateadas	piratear	ver
pirateado	piratear	ver
pirateados	piratear	ver
pirateando	piratear	ver
piratear	piratear	ver
pirateavam	piratear	ver
pirateia	piratear	ver
piratini	piratini	nom
piratininga	piratininga	nom
pirai	pirai	nom
pire	pirar	ver
pirei	pirar	ver
pirelli	pirelli	nom
pirem	pirar	ver
pireneu	pireneu	nom
pireneus	pireneus	nom
pirenoide	pirenoide	adj
pires	pires	adj
pirex	pirex	nom
pirexia	pirexia	nom
piridoxina	piridoxina	nom
piriforme	piriforme	adj
piriformes	piriforme	adj
pirilampo	pirilampo	nom
pirilampos	pirilampo	nom
pirimidina	pirimidina	nom
pirimidinas	pirimidina	nom
pirimidinicas	pirimidinico	adj
pirimidinicos	pirimidinico	adj
pirineus	pirineus	nom
piripiri	piripiri	nom
piririca	piririca	adj
pirita	pirita	nom
piritas	pirita	nom
pirite	pirite	nom
pirites	pirite	nom
pirituba	pirituba	nom
piro	pirar	ver
piroca	pirocar	ver
piroeletricidade	piroeletricidade	nom
piroeletrica	piroeletrico	adj
piroeletricas	piroeletrico	adj
piroeletrico	piroeletrico	adj
piroeletricos	piroeletrico	adj
piroga	piroga	nom
pirogas	piroga	nom
pirogravado	pirogravar	ver
pirogravura	pirogravura	nom
pirolito	pirolito	nom
pirolitos	pirolito	nom
piropo	piropo	nom
piropos	piropo	nom
pirosas	piroso	nom
pirose	pirose	nom
piroso	piroso	nom
pirotecnia	pirotecnia	nom
pirotecnias	pirotecnia	nom
pirotecnica	pirotecnico	adj
pirotecnicas	pirotecnico	adj
pirotecnico	pirotecnico	adj
pirotecnicos	pirotecnico	adj
pirou	pirar	ver
pirovani	pirovani	nom
piroxenio	piroxenio	nom
piroxenios	piroxenio	nom
pirracenta	pirracento	adj
pirralhada	pirralhada	nom
pirralho	pirralho	nom
pirralhos	pirralho	nom
pirraca	pirraca	nom
pirracas	pirraca	nom
pirrol	pirrol	nom
pirrois	pirrol	nom
pirueta	pirueta	nom
piruetas	pirueta	nom
pirulito	pirulito	nom
pirulitos	pirulito	nom
pirua	pirua	nom
piramide	piramide	nom
piramides	piramide	nom
pirao	pirao	nom
pirometro	pirometro	nom
piroes	pirao	nom
pisa	pisa	nom
pisada	pisado	adj
pisadas	pisada	nom
pisado	pisar	ver
pisados	pisado	adj
pisam	pisar	ver
pisamos	pisar	ver
pisando	pisar	ver
pisar	pisar	ver
pisaram	pisar	ver
pisarem	pisar	ver
pisaremos	pisar	ver
pisaria	pisar	ver
pisariam	pisar	ver
pisara	pisar	ver
pisariamos	pisar	ver
pisas	pisar	ver
pisasse	pisar	ver
pisassem	pisar	ver
pisava	pisar	ver
pisavam	pisar	ver
pisca	piscar	ver
piscada	piscado	nom
piscadas	piscado	nom
piscadela	piscadela	nom
piscadelas	piscadela	nom
piscais	piscar	ver
piscam	piscar	ver
piscando	piscar	ver
piscar	piscar	nom
piscara	piscar	ver
piscarem	piscar	ver
piscares	piscar	ver
piscaria	piscar	ver
piscara	piscar	ver
piscas	pisco	nom
piscatoria	piscatorio	adj
piscatorias	piscatorio	adj
piscatorio	piscatorio	adj
piscatorios	piscatorio	adj
piscava	piscar	ver
piscavam	piscar	ver
piscicultores	piscicultor	nom
piscicultura	piscicultura	nom
pisciculturas	piscicultura	nom
piscina	piscina	nom
piscinas	piscina	nom
pisco	pisco	adj
piscos	pisco	nom
piscosa	piscoso	adj
piscosas	piscoso	adj
piscoso	piscoso	adj
piscosos	piscoso	adj
piscou	piscar	ver
piscicola	piscicola	adj
piscicolas	piscicola	adj
pise	pisar	ver
pisei	pisar	ver
pisem	pisar	ver
pises	pisar	ver
pisga	pisgar	ver
pisiforme	pisiforme	nom
piso	piso	nom
pisoes	pisoar	ver
pisos	piso	nom
pisoteada	pisotear	ver
pisoteadas	pisotear	ver
pisoteado	pisotear	ver
pisoteados	pisotear	ver
pisoteando	pisotear	ver
pisotear	pisotear	ver
pisoteassem	pisotear	ver
pisoteia	pisotear	ver
pisoteiam	pisotear	ver
pisoteio	pisotear	ver
pisoteou	pisotear	ver
pisou	pisar	ver
pisque	piscar	ver
pisquem	piscar	ver
pista	pista	nom
pistas	pista	nom
piste	pistar	ver
pistes	pistar	ver
pistiladas	pistilado	adj
pistilo	pistilo	nom
pistilos	pistilo	nom
pisto	pistar	ver
pistola	pistola	nom
pistolas	pistola	nom
pistoleira	pistoleiro	nom
pistoleiras	pistoleiro	nom
pistoleiro	pistoleiro	nom
pistoleiros	pistoleiro	nom
pistolinha	pistola	nom
pistolao	pistolao	nom
pistacio	pistacio	nom
pistao	pistao	nom
pistoes	pistao	nom
pita	pita	nom
pitada	pitada	nom
pitadas	pitada	nom
pitadinha	pitada	nom
pitagorica	pitagorico	adj
pitagoricos	pitagorico	nom
pitam	pitar	ver
pitando	pitar	ver
pitanga	pitanga	nom
pitangas	pitanga	nom
pitangueira	pitangueira	nom
pitangueiras	pitangueira	nom
pitar	pitar	ver
pitas	pita	nom
pite	pitar	ver
piteira	piteira	nom
piteiras	piteira	nom
pites	pitar	ver
pito	pito	nom
pitomba	pitomba	nom
pitombas	pitomba	nom
pitombeira	pitombeira	nom
pitombeiras	pitombeira	nom
pitombo	pitombo	nom
pitonisa	pitonisa	nom
pitonisas	pitonisa	nom
pitoresca	pitoresco	adj
pitorescamente	pitorescamente	adv
pitorescas	pitoresco	adj
pitoresco	pitoresco	adj
pitorescos	pitoresco	adj
pitorra	pitorra	nom
pitos	pito	nom
pitou	pitar	ver
pitta	pitta	nom
pittsburgh	pittsburgh	nom
pitu	pitu	nom
pituitaria	pituitario	adj
pituitarias	pituitario	adj
pituitario	pituitario	adj
pitus	pitu	nom
pitagoras	pitagoras	nom
piteu	piteu	nom
piteus	piteu	nom
pium	pium	nom
piva	piva	nom
pivete	pivete	nom
pivetes	pivete	nom
pivo	pivo	nom
pivos	pivo	nom
pixaim	pixaim	adj
pixinguinha	pixinguinha	nom
pixote	pixote	nom
pixidio	pixidio	nom
pixidios	pixidio	nom
pizarro	pizarro	nom
pizza	pizza	nom
pizzaria	pizzaria	nom
pizzarias	pizzaria	nom
pizzas	pizza	nom
pia	pia	nom
pias	pia	nom
piao	piao	nom
picarra	picarra	nom
picarras	picarra	nom
picarro	picarrar	ver
piissimo	pio	adj
pioes	piao	nom
placa	placa	nom
placado	placar	ver
placar	placar	nom
placares	placar	nom
placas	placa	nom
placebo	placebo	nom
placebos	placebo	nom
placenta	placenta	nom
placentas	placenta	nom
placentacao	placentacao	nom
placentaria	placentario	nom
placentarias	placentario	adj
placentario	placentario	adj
placentarios	placentario	adj
placidamente	placidamente	adv
placidez	placidez	nom
placita	placitar	ver
placitas	placitar	ver
placo	placar	ver
plaga	plaga	nom
plagas	plaga	nom
plagia	plagiar	ver
plagiada	plagiar	ver
plagiadas	plagiar	ver
plagiado	plagiar	ver
plagiador	plagiador	nom
plagiadores	plagiador	adj
plagiados	plagiar	ver
plagiam	plagiar	ver
plagiando	plagiar	ver
plagiar	plagiar	ver
plagiaram	plagiar	ver
plagiarem	plagiar	ver
plagiassem	plagiar	ver
plagiava	plagiar	ver
plagiei	plagiar	ver
plagio	plagiar	ver
plagioclasio	plagioclasio	nom
plagiou	plagiar	ver
plagiario	plagiario	nom
plaina	plaina	nom
plainas	plaina	nom
plaino	plaino	nom
plainos	plaino	nom
plana	plano	adj
planada	planar	ver
planadas	planar	ver
planado	planar	ver
planador	planador	nom
planadores	planador	nom
planados	planar	ver
planaltina	planaltina	nom
planalto	planalto	nom
planaltos	planalto	nom
planam	planar	ver
planando	planar	ver
planar	planar	ver
planarem	planar	ver
planares	planar	ver
planaria	planar	ver
planarias	planar	ver
planas	plano	adj
planasse	planar	ver
planava	planar	ver
plancha	planchar	ver
planchais	planchar	ver
planchas	planchar	ver
planche	planchar	ver
planches	planchar	ver
planck	planck	nom
planctonica	planctonico	adj
planctonicas	planctonico	adj
planctonico	planctonico	adj
planctonicos	planctonico	adj
plane	planar	ver
planeada	planear	ver
planeadas	planear	ver
planeado	planear	ver
planeados	planeado	adj
planeamento	planeamento	nom
planeamentos	planeamento	nom
planeamos	planear	ver
planeando	planear	ver
planear	planear	ver
planeara	planear	ver
planearam	planear	ver
planearem	planear	ver
planeasse	planear	ver
planeava	planear	ver
planeavam	planear	ver
planeia	planear	ver
planeiam	planear	ver
planeio	planear	ver
planeja	planejar	ver
planejada	planejar	ver
planejadas	planejar	ver
planejado	planejar	ver
planejador	planejador	adj
planejadora	planejador	adj
planejadores	planejador	adj
planejados	planejar	ver
planejam	planejar	ver
planejamento	planejamento	nom
planejamentos	planejamento	nom
planejamos	planejar	ver
planejando	planejar	ver
planejar	planejar	ver
planejara	planejar	ver
planejaram	planejar	ver
planejarem	planejar	ver
planejaria	planejar	ver
planejariam	planejar	ver
planejara	planejar	ver
planejasse	planejar	ver
planejassem	planejar	ver
planejava	planejar	ver
planejavam	planejar	ver
planeje	planejar	ver
planejei	planejar	ver
planejem	planejar	ver
planejo	planejar	ver
planejou	planejar	ver
planem	planar	ver
planeou	planear	ver
planes	planar	ver
planeta	planeta	nom
planetas	planeta	nom
planetaria	planetario	adj
planetarias	planetario	adj
planetario	planetario	nom
planetarios	planetario	adj
plange	planger	ver
plangente	plangente	adj
plangentes	plangente	adj
planifica	planificar	ver
planificada	planificar	ver
planificadas	planificar	ver
planificado	planificar	ver
planificador	planificador	nom
planificados	planificar	ver
planificam	planificar	ver
planificando	planificar	ver
planificar	planificar	ver
planificarem	planificar	ver
planificacao	planificacao	nom
planificacoes	planificacao	nom
planificou	planificar	ver
planilha	planilha	nom
planilhas	planilha	nom
planisferio	planisferio	nom
planisferios	planisferio	nom
plano	plano	nom
planos	plano	nom
planou	planar	ver
planta	planta	nom
plantada	plantar	ver
plantadas	plantar	ver
plantado	plantar	ver
plantador	plantador	nom
plantadora	plantador	nom
plantadores	plantador	nom
plantados	plantar	ver
plantai	plantar	ver
plantam	plantar	ver
plantamos	plantar	ver
plantando	plantar	ver
plantar	plantar	ver
plantara	plantar	ver
plantaram	plantar	ver
plantarem	plantar	ver
plantares	plantar	adj
plantariam	plantar	ver
plantara	plantar	ver
plantarao	plantar	ver
plantas	planta	nom
plantasse	plantar	ver
plantassem	plantar	ver
plantava	plantar	ver
plantavam	plantar	ver
plantacao	plantacao	nom
plantacoes	plantacao	nom
plante	plantar	ver
plantei	plantar	ver
planteis	plantar	ver
plantel	plantel	nom
plantem	plantar	ver
plantemos	plantar	ver
plantes	plantar	ver
plantinha	planta	nom
plantinhas	planta	nom
plantio	plantio	nom
plantios	plantio	nom
planto	plantar	ver
plantonista	plantonista	nom
plantonistas	plantonista	nom
plantou	plantar	ver
plantao	plantao	nom
planteis	plantel	nom
plantigrado	plantigrado	nom
plantigrados	plantigrado	adj
plantoes	plantao	nom
planura	planura	nom
planuras	planura	nom
planaltica	planaltico	adj
planalticas	planaltico	adj
planaltico	planaltico	adj
planalticos	planaltico	adj
planaria	planaria	nom
planarias	planaria	nom
planicie	planicie	nom
planicies	planicie	nom
plaque	placar	ver
plaques	placar	ver
plaqueta	plaqueta	nom
plaquetas	plaqueta	nom
plaque	plaque	nom
plasma	plasma	nom
plasmada	plasmar	ver
plasmadas	plasmar	ver
plasmado	plasmar	ver
plasmados	plasmar	ver
plasmando	plasmar	ver
plasmar	plasmar	ver
plasmas	plasma	nom
plasmavam	plasmar	ver
plasmo	plasmar	ver
plasmodesma	plasmodesma	nom
plasmou	plasmar	ver
plasmatica	plasmatico	adj
plasmaticas	plasmatico	adj
plasmatico	plasmatico	adj
plasmaticos	plasmatico	adj
plasmodio	plasmodio	nom
plasmodios	plasmodio	nom
plasmolise	plasmolise	nom
plasticamente	plasticamente	adv
plasticidade	plasticidade	nom
plasticina	plasticina	nom
plastifica	plastificar	ver
plastificada	plastificado	adj
plastificado	plastificado	adj
plastificados	plastificado	adj
plastificando	plastificar	ver
plastificante	plastificante	adj
plastificantes	plastificante	adj
plastidio	plastidio	nom
plastidios	plastidio	nom
plataforma	plataforma	nom
plataformas	plataforma	nom
platanaceas	platanaceo	nom
plateia	plateia	nom
plateias	plateia	nom
platelminto	platelminto	adj
platelmintos	platelminto	adj
platibanda	platibanda	nom
platibandas	platibanda	nom
platina	platina	nom
platinada	platinado	adj
platinado	platinado	nom
platinados	platinado	adj
platinas	platina	nom
platine	platinar	ver
platino	platino	adj
platinos	platino	adj
platirrinos	platirrino	nom
platonicamente	platonicamente	adv
platonismo	platonismo	nom
platonizado	platonizar	ver
platonizam	platonizar	ver
platonizem	platonizar	ver
platao	platao	nom
plateia	plateia	nom
plateias	plateia	nom
platonica	platonico	adj
platonicas	platonico	adj
platonico	platonico	adj
platonicos	platonico	adj
plato	plato	nom
platonica	platonico	adj
platonicas	platonico	adj
platonico	platonico	adj
platonicos	platonico	adj
platos	plato	nom
plausibilidade	plausibilidade	nom
plausivelmente	plausivelmente	adv
plausiveis	plausivel	adj
plausivel	plausivel	adj
play	play	nom
playboy	playboy	nom
playground	playground	nom
plaza	plaza	nom
plebe	plebe	nom
plebeia	plebeu	adj
plebeias	plebeu	adj
plebes	plebe	nom
plebeu	plebeu	nom
plebeus	plebeu	nom
plebeismo	plebeismo	nom
plebiscitada	plebiscitar	ver
plebiscite	plebiscitar	ver
plebiscito	plebiscito	nom
plebiscitos	plebiscito	nom
plebeia	plebeu	nom
plebeias	plebeu	adj
plectro	plectro	nom
plectros	plectro	nom
pleita	pleitar	ver
pleitar	pleitar	ver
pleitas	pleitar	ver
pleitava	pleitar	ver
pleite	pleitar	ver
pleiteada	pleitear	ver
pleiteadas	pleitear	ver
pleiteado	pleitear	ver
pleiteador	pleiteador	nom
pleiteados	pleitear	ver
pleiteando	pleitear	ver
pleiteante	pleiteante	adj
pleiteantes	pleiteante	nom
pleitear	pleitear	ver
pleiteara	pleitear	ver
pleitearam	pleitear	ver
pleitearem	pleitear	ver
pleiteara	pleitear	ver
pleiteasse	pleitear	ver
pleiteava	pleitear	ver
pleiteavam	pleitear	ver
pleiteia	pleitear	ver
pleiteiam	pleitear	ver
pleiteie	pleitear	ver
pleiteio	pleitear	ver
pleiteou	pleitear	ver
pleito	pleito	nom
pleitos	pleito	nom
plena	pleno	adj
plenamente	plenamente	adv
plenas	pleno	adj
plenifica	plenificar	ver
plenilunio	plenilunio	nom
plenipotenciaria	plenipotenciario	adj
plenipotenciario	plenipotenciario	adj
plenipotenciarios	plenipotenciario	adj
plenipotencia	plenipotencia	nom
plenitude	plenitude	nom
plenitudes	plenitude	nom
pleno	pleno	adj
plenos	pleno	adj
plenaria	plenario	adj
plenarias	plenario	adj
plenario	plenario	nom
plenarios	plenario	adj
pleonasmo	pleonasmo	nom
pleonasmos	pleonasmo	nom
pleonastica	pleonastico	adj
pleonastico	pleonastico	adj
pleroma	pleroma	nom
pletora	pletora	nom
pleura	pleura	nom
pleurais	pleural	adj
pleural	pleural	adj
pleuras	pleura	nom
pleuris	pleuris	nom
pleurisia	pleurisia	nom
pleurite	pleurite	nom
pleurocarpa	pleurocarpo	adj
pleuritica	pleuritico	adj
plexo	plexo	nom
plexos	plexo	nom
plica	plicar	ver
plicada	plicar	ver
plicadas	plicado	adj
plicado	plicar	ver
plicados	plicado	adj
plicaria	plicar	ver
plicas	plicar	ver
plinto	plinto	nom
plintos	plinto	nom
plique	plicar	ver
plissada	plissado	adj
plissadas	plissado	adj
plissado	plissado	adj
plota	plotar	ver
plotada	plotar	ver
plotadas	plotar	ver
plotado	plotar	ver
plotados	plotar	ver
plotam	plotar	ver
plotando	plotar	ver
plotar	plotar	ver
plotavam	plotar	ver
plote	plotar	ver
ploto	plotar	ver
pluga	plugar	ver
plugada	plugar	ver
plugadas	plugar	ver
plugado	plugar	ver
plugados	plugar	ver
plugar	plugar	ver
plugou	plugar	ver
plugue	plugar	ver
plugues	plugar	ver
plugaveis	plugar	ver
pluma	pluma	nom
plumada	plumar	ver
plumado	plumar	ver
plumados	plumar	ver
plumagem	plumagem	nom
plumagens	plumagem	nom
plumaria	plumar	ver
plumas	pluma	nom
plumbaginales	plumbaginale	nom
plume	plumar	ver
plumes	plumar	ver
plumo	plumar	ver
plumosa	plumoso	adj
plumosas	plumoso	adj
plumoso	plumoso	adj
plumosos	plumoso	adj
plurais	plural	adj
plural	plural	nom
pluralidade	pluralidade	nom
pluralidades	pluralidade	nom
pluralismo	pluralismo	nom
pluralista	pluralista	adj
pluralistas	pluralista	adj
pluraliza	pluralizar	ver
pluralizada	pluralizar	ver
pluralizadas	pluralizar	ver
pluralizado	pluralizar	ver
pluralizados	pluralizar	ver
pluralizam	pluralizar	ver
pluralizando	pluralizar	ver
pluralizar	pluralizar	ver
pluralizacao	pluralizacao	nom
pluralizem	pluralizar	ver
pluralistica	pluralistico	adj
plurianuais	plurianual	adj
plurianual	plurianual	adj
pluricelular	pluricelular	adj
pluricelulares	pluricelular	adj
pluriflora	plurifloro	adj
plurilingüe	plurilingüe	adj
pluripartidarismo	pluripartidarismo	nom
pluripartidarista	pluripartidarista	adj
pluripartidaria	pluripartidario	adj
pluripartidarias	pluripartidario	adj
pluripartidario	pluripartidario	adj
plush	plush	nom
plutarco	plutarco	nom
plutocracia	plutocracia	nom
plutocratas	plutocrata	nom
plutao	plutao	nom
plutonica	plutonico	adj
plutonicas	plutonico	adj
plutonicos	plutonico	adj
plutonio	plutonio	adj
plutoes	plutao	nom
pluviais	pluvial	adj
pluvial	pluvial	adj
pluviometria	pluviometria	nom
pluviometrica	pluviometrico	adj
pluviometricas	pluviometrico	adj
pluviometrico	pluviometrico	adj
pluviometricos	pluviometrico	adj
pluviosa	pluvioso	adj
pluviosas	pluvioso	adj
pluviosidade	pluviosidade	nom
pluviosidades	pluviosidade	nom
pluvioso	pluvioso	adj
pluviosos	pluvioso	adj
pluviometro	pluviometro	nom
pluviometros	pluviometro	nom
placida	placido	adj
placidas	placido	adj
placido	placido	adj
placidos	placido	adj
plagio	plagio	nom
plagios	plagio	nom
plastica	plastico	adj
plasticas	plastico	adj
plastico	plastico	nom
plasticos	plastico	adj
platano	platano	nom
platanos	platano	nom
plancton	plancton	nom
planctons	plancton	nom
plantula	plantula	nom
plantulas	plantula	nom
pleiade	pleiade	nom
pleiades	pleiade	nom
plinio	plinio	nom
plumbeo	plumbeo	adj
plumbeos	plumbeo	adj
plumula	plumula	nom
pneu	pneu	nom
pneumaticamente	pneumaticamente	adv
pneumatoforo	pneumatoforo	adj
pneumococo	pneumococo	nom
pneumococos	pneumococo	nom
pneumoconioses	pneumoconiose	nom
pneumococica	pneumococico	adj
pneumogastrico	pneumogastrico	adj
pneumologia	pneumologia	nom
pneumologista	pneumologista	nom
pneumologistas	pneumologista	nom
pneumonia	pneumonia	nom
pneumonias	pneumonia	nom
pneumotorax	pneumotorax	nom
pneumatica	pneumatico	adj
pneumaticas	pneumatico	adj
pneumatico	pneumatico	adj
pneumaticos	pneumatico	adj
pneumonica	pneumonico	adj
pneumonica	pneumonico	adj
pneus	pneu	nom
pobre	pobre	adj
pobremente	pobremente	adv
pobres	pobre	adj
pobretao	pobre	adj
pobretoes	pobre	adj
pobreza	pobreza	nom
pobrezas	pobreza	nom
pobrezinha	pobre	adj
pobrezinhas	pobre	adj
pobrezinho	pobre	adj
pobrezinhos	pobre	adj
pobrissimo	pobre	adj
pocilga	pocilga	nom
pocilgas	pocilga	nom
poda	poda	nom
podada	podar	ver
podadas	podar	ver
podado	podar	ver
podados	podar	ver
podal	podal	adj
podam	podar	ver
podamos	podar	ver
podando	podar	ver
podar	podar	ver
podara	podar	ver
podaram	podar	ver
podarei	podar	ver
podas	podar	ver
pode	poder	ver_sup
podeis	poder	ver_sup
podem	poder	ver_sup
podemos	poder	ver_sup
podendo	poder	ver_sup
poder	poder	ver_sup
poderdes	poder	ver_sup
poderei	poder	ver_sup
podereis	poder	ver_sup
poderem	poder	ver_sup
poderemos	poder	ver_sup
poderes	poder	ver_sup
poderia	poder	ver_sup
poderiam	poder	ver_sup
poderias	poder	ver_sup
poderio	poderio	nom
poderios	poderio	nom
podermos	poder	ver_sup
poderosa	poderoso	adj
poderosamente	poderosamente	adv
poderosas	poderoso	adj
poderoso	poderoso	adj
poderosos	poderoso	adj
poderosissima	poderoso	adj
poderosissimas	poderoso	adj
poderosissimo	poderoso	adj
poderosissimos	poderoso	adj
podera	poder	ver_sup
poderas	poder	ver_sup
poderao	poder	ver_sup
poderiamos	poder	ver_sup
poderieis	poder	ver_sup
podes	poder	ver_sup
podia	poder	ver_sup
podiam	poder	ver_sup
podias	poder	ver_sup
podido	poder	ver_sup
podium	podium	nom
podo	podar	ver
podocarpaceas	podocarpaceo	adj
pododactilo	pododactilo	nom
pododactilos	pododactilo	nom
podou	podar	ver
podre	podre	adj
podres	podre	adj
podridao	podridao	nom
podridoes	podridao	nom
podao	podao	nom
podiamos	poder	ver_sup
podoes	podao	nom
poe	poe	nom
poedeira	poedeira	adj
poedeiras	poedeira	adj
poeira	poeira	nom
poeirada	poeirada	nom
poeiras	poeira	nom
poeirenta	poeirento	adj
poeirentas	poeirento	adj
poeirento	poeirento	adj
poeirentos	poeirento	adj
poejo	poejo	nom
poema	poema	nom
poemas	poema	nom
poemeto	poemeto	nom
poemetos	poemeto	nom
poeminha	poema	nom
poentas	poento	adj
poente	poente	nom
poentes	poente	nom
poesia	poesia	nom
poesias	poesia	nom
poeta	poeta	nom
poetai	poetar	ver
poetam	poetar	ver
poetar	poetar	ver
poetaria	poetar	ver
poetas	poeta	nom
poetava	poetar	ver
poete	poetar	ver
poetes	poetar	ver
poeticamente	poeticamente	adv
poeticidade	poeticidade	nom
poetificando	poetificar	ver
poetisa	poeta	nom
poetisas	poeta	nom
poetiza	poetizar	ver
poetizar	poetizar	ver
poetizas	poetizar	ver
poetizou	poetizar	ver
poeto	poetar	ver
poetou	poetar	ver
pogrom	pogrom	nom
poiais	poial	nom
poial	poial	nom
poiares	poiar	ver
poiava	poiar	ver
poilu	poilu	nom
pointer	pointer	nom
pois	pois	conj
poisa	poisar	ver
poisadas	poisar	ver
poisam	poisar	ver
poisar	poisar	ver
poise	poisar	ver
poises	poisar	ver
poiso	poiso	nom
poisou	poisar	ver
poisson	poisson	nom
poita	poitar	ver
poite	poitar	ver
poitou	poitar	ver
poja	pojar	ver
pojada	pojar	ver
pojadouro	pojadouro	nom
pojam	pojar	ver
pojar	pojar	ver
pojas	pojar	ver
poje	pojar	ver
pojem	pojar	ver
pojo	pojar	ver
polaca	polaco	adj
polacas	polaco	adj
polaciuria	polaciuria	nom
polaco	polaco	adj
polacos	polaco	adj
polaina	polaina	nom
polainas	polaina	nom
polar	polar	adj
polares	polar	adj
polaridade	polaridade	nom
polaridades	polaridade	nom
polariza	polarizar	ver
polarizabilidade	polarizabilidade	nom
polarizada	polarizar	ver
polarizadas	polarizar	ver
polarizado	polarizar	ver
polarizador	polarizador	adj
polarizadora	polarizador	adj
polarizadoras	polarizador	adj
polarizadores	polarizador	adj
polarizados	polarizar	ver
polarizam	polarizar	ver
polarizando	polarizar	ver
polarizar	polarizar	ver
polarizaram	polarizar	ver
polarizarem	polarizar	ver
polarizava	polarizar	ver
polarizavam	polarizar	ver
polarizacao	polarizacao	nom
polarizacoes	polarizacao	nom
polarize	polarizar	ver
polarizou	polarizar	ver
polarizaveis	polarizavel	adj
polaroid	polaroid	nom
polca	polca	nom
polcas	polca	nom
poldra	poldro	nom
poldras	poldro	nom
poldros	poldro	nom
polegada	polegada	nom
polegadas	polegada	nom
polegar	polegar	nom
polegares	polegar	nom
poleiro	poleiro	nom
poleiros	poleiro	nom
polemica	polemicar	ver
polemicamente	polemicamente	adv
polemicas	polemicar	ver
polemico	polemicar	ver
polemique	polemicar	ver
polemista	polemista	nom
polemistas	polemista	adj
polemiza	polemizar	ver
polemizada	polemizar	ver
polemizado	polemizar	ver
polemizam	polemizar	ver
polemizando	polemizar	ver
polemizar	polemizar	ver
polemizaram	polemizar	ver
polemizavam	polemizar	ver
polemizou	polemizar	ver
polenta	polenta	nom
polessa	polessa	nom
poli	polir	ver
polia	polia	nom
poliamida	poliamida	nom
poliamidas	poliamida	nom
poliandras	poliandro	adj
polianilina	polianilina	nom
polias	polia	nom
poliatomicas	poliatomico	adj
poliatomico	poliatomico	adj
poliatomicos	poliatomico	adj
policarbonato	policarbonato	nom
policarbonatos	policarbonato	nom
policarpa	policarpo	nom
policarpo	policarpo	nom
polichinelo	polichinelo	nom
policia	policiar	ver
policiada	policiar	ver
policiadas	policiar	ver
policiado	policiar	ver
policiados	policiar	ver
policiais	policial	adj
policial	policial	adj
policiam	policiar	ver
policiamento	policiamento	nom
policiamentos	policiamento	nom
policiando	policiar	ver
policiar	policiar	ver
policiarem	policiar	ver
policias	policiar	ver
policiava	policiar	ver
policie	policiar	ver
policies	policiar	ver
policio	policiar	ver
policlinica	policlinica	nom
policlinicas	policlinica	nom
policopiada	policopiar	ver
policopiadas	policopiar	ver
policopiado	policopiar	ver
policroma	policromo	adj
policromada	policromado	adj
policromadas	policromar	ver
policromado	policromado	adj
policromados	policromado	adj
policromas	policromo	adj
policromia	policromia	nom
policromias	policromia	nom
policromo	policromo	adj
policromos	policromo	adj
policultura	policultura	nom
polida	polido	adj
polidamente	polidamente	adv
polidas	polido	adj
polidez	polidez	nom
polido	polido	adj
polidor	polidor	adj
polidora	polidor	adj
polidores	polidor	nom
polidos	polido	adj
polidura	polidura	nom
poliedro	poliedro	nom
poliedros	poliedro	nom
poliembrionia	poliembrionia	nom
poliester	poliester	nom
poliestireno	poliestireno	nom
polietileno	polietileno	nom
polietilenos	polietileno	nom
polifiletica	polifiletico	adj
polifileticas	polifiletico	adj
polifiletico	polifiletico	adj
polifileticos	polifiletico	adj
polifonia	polifonia	nom
polifonias	polifonia	nom
polifonica	polifonico	adj
polifonicas	polifonico	adj
polifonico	polifonico	adj
polifonica	polifonico	adj
polifonicas	polifonico	adj
polifonico	polifonico	adj
polifonicos	polifonico	adj
poligamia	poligamia	nom
poliglota	poliglota	adj
poliglotas	poliglota	adj
poligonais	poligonal	adj
poligonal	poligonal	adj
poligonale	poligonale	nom
poligonaceas	poligonaceo	nom
poligrafa	poligrafar	ver
poligrafada	poligrafar	ver
poligrafo	poligrafar	ver
poligamica	poligamico	adj
poligamicas	poligamico	adj
poligamico	poligamico	adj
poligamicos	poligamico	adj
poliimida	poliimida	nom
poliisopreno	poliisopreno	nom
polimento	polimento	nom
polimentos	polimento	nom
polimeriza	polimerizar	ver
polimerizada	polimerizar	ver
polimerizado	polimerizar	ver
polimerizados	polimerizado	adj
polimerizam	polimerizar	ver
polimerizando	polimerizar	ver
polimerizar	polimerizar	ver
polimerizacao	polimerizacao	nom
polimerizacoes	polimerizacao	nom
polimerizou	polimerizar	ver
polimorfa	polimorfo	adj
polimorfas	polimorfo	adj
polimorfismo	polimorfismo	nom
polimorfismos	polimorfismo	nom
polimorfo	polimorfo	adj
polimorfos	polimorfo	adj
polimerica	polimerico	adj
polimericas	polimerico	adj
polimerico	polimerico	adj
polimericos	polimerico	adj
polindo	polir	ver
polineurite	polineurite	nom
polineurites	polineurite	nom
poliniza	polinizar	ver
polinizada	polinizar	ver
polinizadas	polinizar	ver
polinizado	polinizar	ver
polinizados	polinizar	ver
polinizam	polinizar	ver
polinizando	polinizar	ver
polinizar	polinizar	ver
