"","numero","data_autuacao","data_baixa","tem_rito_art_12","em_tramitacao","resultado"
"206",524,2018-06-15,2023-09-19,"Não","Não","Procedente"
"207",525,2018-06-19,2019-03-28,"Não","Não","Sem mérito"
"208",526,2018-06-25,2020-06-23,"Sim","Não","Procedente"
"209",527,2018-06-25,2023-11-28,"Não","Não","Sem mérito"
"210",528,2018-06-26,2022-08-08,"Não","Não","Improcedente"
"211",529,2018-06-26,2020-04-29,"Sim","Não","Sem mérito"
"212",530,2018-06-27,2020-12-21,"Não","Não","Procedente"
"213",531,2018-06-28,2018-09-05,"Não","Não","Sem mérito"
"214",532,2018-07-13,2018-08-31,"Não","Não","Prejudicado"
"215",533,2018-07-23,2022-12-13,"Não","Não","Sem mérito"
"216",534,2018-07-25,2020-09-28,"Não","Não","Sem mérito"
"217",535,2018-07-30,2021-08-25,"Não","Não","Sem mérito"
"218",536,2018-08-03,2018-11-09,"Não","Não","Sem mérito"
"219",537,2018-08-16,2018-09-27,"Não","Não","Sem mérito"
"220",538,2018-08-30,2019-08-30,"Não","Não","Prejudicado"
"221",539,2018-09-10,2021-03-16,"Sim","Não","Procedente em parte"
"222",540,2018-09-12,2019-04-05,"Não","Não","Sem mérito"
"223",541,2018-09-19,2019-06-04,"Não","Não","Improcedente"
"224",542,2018-09-25,2020-11-13,"Não","Não","Procedente"
"225",543,2018-09-27,2019-03-13,"Não","Não","Sem mérito"
"226",544,2018-10-09,2022-06-27,"Não","Não","Sem mérito"
"227",545,2018-10-11,2019-04-08,"Não","Não","Sem mérito"
"228",546,2018-10-17,2023-02-27,"Sim","Não","Sem mérito"
"229",547,2018-10-17,2021-06-30,"Não","Não","Procedente"
"230",548,2018-10-26,2020-06-24,"Não","Não","Procedente"
"231",549,2018-10-30,2020-10-05,"Não","Não","Sem mérito"
"232",550,2018-11-09,2024-03-20,"Sim","Não","Sem mérito"
"233",551,2018-11-19,2019-03-05,"Não","Não","Sem mérito"
"234",552,2018-11-20,2019-09-09,"Não","Não","Sem mérito"
"235",553,2018-11-20,2019-05-31,"Não","Não","Sem mérito"
"236",554,2018-11-21,2020-06-10,"Sim","Não","Sem mérito"
"237",555,2018-11-23,2020-05-27,"Não","Não","Sem mérito"
"238",556,2018-11-28,2020-08-28,"Não","Não","Procedente em parte"
"239",557,2018-12-04,NA,"Não","Sim","Sem julgamento"
"240",558,2018-12-11,2019-02-21,"Não","Não","Sem mérito"
"241",559,2018-12-12,2022-08-12,"Não","Não","Sem mérito"
"242",560,2018-12-14,2020-03-09,"Não","Não","Sem mérito"
"243",561,2019-01-02,2020-11-26,"Não","Não","Sem mérito"
"244",562,2019-01-14,2019-08-09,"Não","Não","Sem mérito"
"245",563,2019-01-14,2021-03-30,"Não","Não","Sem mérito"
