"","classe","numero","data_autuacao","data_baixa","relator_atual","evento","tempo"
"147","ADPF","465",2017-06-08,2020-10-01,"MIN. LUÍS ROBERTO BARROSO",1,1211
"148","ADPF","466",2017-06-08,2025-06-06,"MIN. ROSA WEBER",0,2920
"149","ADPF","467",2017-06-08,2020-08-14,"MIN. GILMAR MENDES",1,1163
"150","ADPF","468",2017-06-09,2018-06-27,"MIN. DIAS TOFFOLI",1,383
"151","ADPF","469",2017-06-20,2017-08-24,"MIN. EDSON FACHIN",1,65
"152","ADPF","470",2017-06-22,2022-09-01,"MIN. EDSON FACHIN",1,1897
"153","ADPF","471",2017-06-26,2020-05-26,"MIN. CELSO DE MELLO",1,1065
"154","ADPF","472",2017-07-13,2017-11-06,"MIN. CELSO DE MELLO",1,116
"155","ADPF","473",2017-07-25,2025-06-06,"MIN. LUIZ FUX",0,2873
"156","ADPF","474",2017-08-19,2024-09-30,"MIN. ROSA WEBER",1,2599
"157","ADPF","475",2017-08-19,2023-05-12,"MIN. DIAS TOFFOLI",1,2092
"158","ADPF","476",2017-08-22,2020-03-20,"MIN. ALEXANDRE DE MORAES",1,941
"159","ADPF","477",2017-08-24,2019-10-29,"MIN. ALEXANDRE DE MORAES",1,796
"160","ADPF","478",2017-08-29,2018-02-26,"MIN. ALEXANDRE DE MORAES",1,181
"161","ADPF","479",2017-08-30,2017-11-21,"MIN. ALEXANDRE DE MORAES",1,83
"162","ADPF","480",2017-09-15,2018-05-04,"MIN. EDSON FACHIN",1,231
"163","ADPF","481",2017-09-15,2018-08-07,"MIN. EDSON FACHIN",1,326
"164","ADPF","482",2017-09-15,2020-04-06,"MIN. ALEXANDRE DE MORAES",1,934
"165","ADPF","483",2017-09-21,2019-06-25,"MIN. LUIZ FUX",1,642
"166","ADPF","484",2017-09-25,2020-11-19,"MIN. LUIZ FUX",1,1151
"167","ADPF","485",2017-09-25,2021-02-17,"MIN. LUÍS ROBERTO BARROSO",1,1241
"168","ADPF","486",2017-10-06,2023-09-06,"MIN. GILMAR MENDES",1,2161
"169","ADPF","487",2017-10-09,2018-03-23,"MIN. ALEXANDRE DE MORAES",1,165
"170","ADPF","488",2017-10-11,2024-03-04,"MIN. ROSA WEBER",1,2336
"171","ADPF","489",2017-10-20,2020-04-02,"MIN. ROSA WEBER",1,895
"172","ADPF","490",2017-10-20,2025-06-06,"MIN. LUIZ FUX",0,2786
"173","ADPF","491",2017-10-20,2020-06-08,"MIN. ROSA WEBER",1,962
"174","ADPF","492",2017-10-23,2021-02-08,"MIN. GILMAR MENDES",1,1204
"175","ADPF","493",2017-10-23,2021-02-12,"MIN. GILMAR MENDES",1,1208
"176","ADPF","494",2017-10-27,2023-03-24,"MIN. DIAS TOFFOLI",1,1974
"177","ADPF","495",2017-10-30,2023-05-26,"MIN. CÁRMEN LÚCIA",1,2034
