"","classe","numero","data_autuacao","data_baixa","evento","tempo"
"386","ADPF","402",2016-05-03,2025-06-06,0,3321
"387","ADPF","403",2016-05-03,2025-06-06,0,3321
"388","ADPF","404",2016-05-04,2019-10-07,1,1251
"389","ADPF","405",2016-05-05,2021-08-16,1,1929
"390","ADPF","406",2016-05-06,2017-02-21,1,291
"391","ADPF","407",2016-05-09,2016-06-08,1,30
"392","ADPF","408",2016-05-13,2017-11-17,1,553
"393","ADPF","409",2016-05-23,2016-09-28,1,128
"394","ADPF","410",2016-05-24,2016-06-24,1,31
"395","ADPF","411",2016-05-24,2021-08-18,1,1912
"396","ADPF","412",2016-06-08,2020-03-10,1,1371
"397","ADPF","413",2016-06-16,2018-08-14,1,789
"398","ADPF","414",2016-07-08,2017-03-30,1,265
"399","ADPF","415",2016-07-14,2018-10-01,1,809
"400","ADPF","416",2016-07-19,2017-11-24,1,493
"401","ADPF","417",2016-07-27,2017-08-22,1,391
"402","ADPF","418",2016-07-27,2020-05-15,1,1388
"403","ADPF","419",2016-08-05,2021-09-01,1,1853
"404","ADPF","420",2016-08-05,2025-06-06,0,3227
"405","ADPF","421",2016-08-24,2017-06-16,1,296
"406","ADPF","422",2016-09-13,2025-06-06,0,3188
"407","ADPF","423",2016-10-04,2020-07-09,1,1374
"408","ADPF","424",2016-10-26,2025-06-06,0,3145
"409","ADPF","425",2016-10-31,2018-11-16,1,746
"410","ADPF","426",2016-11-03,2021-11-26,1,1849
"411","ADPF","427",2016-11-04,2022-12-01,1,2218
"412","ADPF","428",2016-11-07,2017-05-26,1,200
"413","ADPF","429",2016-11-09,2025-06-06,0,3131
"414","ADPF","430",2016-11-11,2023-05-19,1,2380
"415","ADPF","431",2016-11-11,2017-03-21,1,130
"416","ADPF","432",2016-11-11,2017-02-13,1,94
"417","ADPF","433",2016-11-17,2025-06-06,0,3123
"418","ADPF","434",2016-11-18,2025-06-06,0,3122
"419","ADPF","435",2016-11-23,2018-10-02,1,678
"420","ADPF","436",2016-11-30,2017-02-24,1,86
"421","ADPF","437",2016-12-20,2020-10-26,1,1406
"422","ADPF","438",2016-12-20,2020-02-07,1,1144
"423","ADPF","439",2017-01-02,2017-06-13,1,162
"424","ADPF","440",2017-02-15,2020-02-10,1,1090
"425","ADPF","441",2017-02-24,2017-08-25,1,182
"426","ADPF","442",2017-03-08,2025-06-06,0,3012
"427","ADPF","443",2017-03-14,2020-05-19,1,1162
"428","ADPF","444",2017-03-14,2020-06-18,1,1192
"429","ADPF","445",2017-03-22,2025-06-06,0,2998
"430","ADPF","446",2017-03-22,2019-11-06,1,959
"431","ADPF","447",2017-03-29,2017-08-23,1,147
"432","ADPF","448",2017-04-05,2020-12-15,1,1350
"433","ADPF","449",2017-04-07,2019-11-04,1,941
"434","ADPF","450",2017-04-18,2019-10-08,1,903
"435","ADPF","451",2017-04-27,2019-02-21,1,665
"436","ADPF","452",2017-05-03,2020-05-27,1,1120
"437","ADPF","453",2017-05-04,2019-12-13,1,953
"438","ADPF","454",2017-05-08,2025-06-06,0,2951
"439","ADPF","455",2017-05-11,2023-08-14,1,2286
"440","ADPF","456",2017-05-16,2017-08-31,1,107
"441","ADPF","457",2017-05-22,2020-06-16,1,1121
"442","ADPF","458",2017-05-23,2019-11-22,1,913
"443","ADPF","459",2017-05-25,2017-08-03,1,70
"444","ADPF","460",2017-06-06,2020-09-11,1,1193
"445","ADPF","461",2017-06-06,2020-10-08,1,1220
"446","ADPF","462",2017-06-06,2024-08-30,1,2642
"447","ADPF","463",2017-06-07,2019-03-08,1,639
"448","ADPF","464",2017-06-08,2018-11-08,1,518
"449","ADPF","465",2017-06-08,2020-10-01,1,1211
"450","ADPF","466",2017-06-08,2025-06-06,0,2920
"451","ADPF","467",2017-06-08,2020-08-14,1,1163
"452","ADPF","468",2017-06-09,2018-06-27,1,383
"453","ADPF","469",2017-06-20,2017-08-24,1,65
"454","ADPF","470",2017-06-22,2022-09-01,1,1897
"455","ADPF","471",2017-06-26,2020-05-26,1,1065
"456","ADPF","472",2017-07-13,2017-11-06,1,116
"457","ADPF","473",2017-07-25,2025-06-06,0,2873
"458","ADPF","474",2017-08-19,2024-09-30,1,2599
"459","ADPF","475",2017-08-19,2023-05-12,1,2092
"460","ADPF","476",2017-08-22,2020-03-20,1,941
"461","ADPF","477",2017-08-24,2019-10-29,1,796
"462","ADPF","478",2017-08-29,2018-02-26,1,181
"463","ADPF","479",2017-08-30,2017-11-21,1,83
"464","ADPF","480",2017-09-15,2018-05-04,1,231
"465","ADPF","481",2017-09-15,2018-08-07,1,326
"466","ADPF","482",2017-09-15,2020-04-06,1,934
"467","ADPF","483",2017-09-21,2019-06-25,1,642
"468","ADPF","484",2017-09-25,2020-11-19,1,1151
"469","ADPF","485",2017-09-25,2021-02-17,1,1241
"470","ADPF","486",2017-10-06,2023-09-06,1,2161
"471","ADPF","487",2017-10-09,2018-03-23,1,165
"472","ADPF","488",2017-10-11,2024-03-04,1,2336
"473","ADPF","489",2017-10-20,2020-04-02,1,895
"474","ADPF","490",2017-10-20,2025-06-06,0,2786
"475","ADPF","491",2017-10-20,2020-06-08,1,962
"476","ADPF","492",2017-10-23,2021-02-08,1,1204
"477","ADPF","493",2017-10-23,2021-02-12,1,1208
"478","ADPF","494",2017-10-27,2023-03-24,1,1974
"479","ADPF","495",2017-10-30,2023-05-26,1,2034
"480","ADPF","496",2017-10-30,2022-11-22,1,1849
"481","ADPF","497",2017-11-21,2019-11-04,1,713
"482","ADPF","498",2017-11-23,2020-06-01,1,921
"483","ADPF","499",2017-11-23,2023-08-09,1,2085
"484","ADPF","500",2017-11-28,2022-05-11,1,1625
"485","ADPF","501",2017-11-30,2022-09-20,1,1755
