risco;34;35;10;171;18
stf;12;30;113;42;79
decorrente;27;36;83;72;52
sede;13;15;147;13;94
proferido;4;7;82;18;169
mau;46;60;49;60;65
eficacia;44;17;60;57;89
encontrar;20;40;74;50;50
exigir;35;47;92;65;28
fato;37;56;62;29;94
apontar;29;30;110;33;77
admitir;13;10;198;11;51
ofensa;24;21;140;6;71
perda;7;6;12;5;236
constitucionalidade;7;6;167;6;79
ocorrer;42;27;29;63;103
utilizar;43;20;153;43;17
interesse;20;24;119;26;82
condicao;79;24;44;52;75
caber;28;41;112;18;45
adequado;25;26;115;49;69
fl;39;51;13;20;116
adotar;40;53;21;78;66
utilizacao;24;15;188;16;23
monocratico;2;0;44;7;78
apo;63;15;6;50;121
face;21;14;74;21;135
ementa;8;7;113;14;87
principio;35;102;36;23;68
formular;12;15;34;47;157
realizar;66;31;20;85;56
procedimento;31;63;18;84;53
populacao;20;34;1;199;3
paragrafar;80;23;90;11;44
entender;16;30;86;33;89
realizacao;78;38;22;72;37
evidenciar;15;37;70;94;27
sanitario;9;23;4;204;6
local;43;34;69;76;25
economico;79;61;17;46;24
defesa;48;73;39;21;14
brasilia;6;8;2;19;217
seguimento;2;1;77;8;162
individual;27;34;114;24;4
liminar;19;15;6;21;169
sustentar;52;46;28;38;89
manifestacao;35;46;22;31;114
impugnacao;4;3;131;12;89
base;39;31;30;61;79
legislativo;47;54;53;11;86
arts;61;33;43;20;89
relatoria;3;9;93;14;58
atuacao;26;99;27;55;33
conhecido;4;6;89;18;114
conferir;26;32;65;19;97
representacao;12;13;34;3;122
eventual;20;25;92;42;64
texto;27;37;135;15;28
dias_toffoli;0;2;44;6;70
regra;27;45;92;13;42
ente;49;74;17;75;23
cargo;50;5;4;4;152
edoc;21;40;9;12;132
relatorio;23;16;16;26;155
necessidade;32;56;47;60;47
mc;0;9;17;25;13
diverso;25;39;45;59;54
acordo;71;23;55;35;25
preceito;15;19;92;11;46
legitimidade;10;9;73;6;119
contexto;22;18;87;83;25
uso;30;29;65;93;12
criterio;59;29;52;64;33
tecnica;41;22;7;126;18
