"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"considerar";-0,0644334600784184;-0,175238096030663;0,000640206062566007;-0,345099896208895;-0,938559696754229;0,00342888687764007;0,141448507572952;0,858543210659812;8,28176724135048e-06;6,90431207282254e-06;5,10686712030142e-05;6,81611753838645e-10;0,00166302012913594;0,0852335811604253;1,20814476968166e-05
"iii";-0,142579176408176;0,194205760753229;0,56060547986619;-0,233666283251196;0,318274655839406;0,918749863413257;0,0855344026100219;0,130221437049849;0,784244160340142;3,3503808710935e-05;6,21593112340382e-05;0,000517960515242944;0,00164809399484302;0,242540436999494;9,6950552507497e-05
"competencia";0,328258620217549;-0,239063216185987;1,74849499119995;0,182870628820672;-0,133180480204451;0,974074582774463;0,0547580682087294;0,0238325766705363;0,921409355120718;0,000168608326989173;8,94277400180239e-05;0,00478382765251479;0,00156475641170756;0,697895740579356;0,000762127855545196
"uniao";0,630558082268765;1,22837896957786;-0,107910760980798;0,455283937213277;0,886930529297413;-0,0779151635805654;0,242039738201356;0,753756152632092;0,00420410916655739;0,000582588063874946;0,00221093581120129;1,70624306602275e-05;0,00146524884975478;0,63764686189061;0,000595760688199515
"efeito";0,365210827992296;-0,485178274836303;-0,473660426856677;0,474207364679565;-0,62997888746813;-0,615023557783016;0,290204031792155;0,42028944852841;0,289506519679462;0,000214346256409345;0,000378295612360935;0,000360547772164133;0,0016070471255375;0,337279846581145;0,000182813976612566
"relacao";-0,167136377668759;0,0755797660530589;0,0121982980723836;-0,90916030644645;0,411126076946168;0,0663542465638012;0,853998869984717;0,143303255156663;0,00269787485863868;4,47531833556456e-05;9,15151610366452e-06;2,38385834241772e-07;0,00160207174743986;0,0899789259351057;1,29707046762541e-05
"modo";0,113974579147822;-0,107916149331557;0,701190443335017;0,158618995198967;-0,150187447944093;0,97585026763439;0,0413514156931619;0,0304212400367251;0,928227344270096;2,06658197755975e-05;1,85271886644701e-05;0,000782183445147517;0,00159087714672017;0,278843980231194;0,00012369700648042
"interpretacao";0,548390060811124;-0,506270976071997;1,47511008663125;0,331719052577632;-0,306241379141256;0,892288455522461;0,166928883016973;0,116747621801167;0,716323495181841;0,000453738937085184;0,000386716729797463;0,00328303690635636;0,00150878340810912;0,667762918298936;0,000672777558509638
"controlo";0,152656379467359;0,292033038686532;0,0587962464369015;0,456058067952594;0,872443220954175;0,175652682491474;0,244436829959635;0,734057948397441;0,0215052216429307;3,5827333430453e-05;0,00013111384220592;5,3147614038839e-06;0,00153739183217055;0,153613754483132;3,62781203520023e-05
"normativo";0,5660348942372;-0,188033886315374;-0,230978756937615;0,884966119961031;-0,293981202374386;-0,361123274203737;0,84082216601707;0,0761411848779225;0,0830366491050315;0,000481016283546052;5,30817965595955e-05;8,00972209911578e-05;0,00150132034096266;0,307106915468287;0,000141596513798382
"caput";0,0826932616968517;0,409973268475239;1,02002565911994;0,0750094733217391;0,371878896941496;0,925245732182306;0,0089760283085354;0,181044232293835;0,809979739397633;9,33067302745564e-06;0,0002293421116103;0,00141969456496362;0,00136449744327758;0,434236657200181;0,000257291649796391
"liberdade";-1,99882045851284;-0,284097498319609;-0,356891796689001;-0,974933881196977;-0,138569862788558;-0,17407561696274;0,965731133222904;0,0160093287717603;0,0182595380053449;0,00529252938895952;0,000106917925923219;0,00016872865231841;0,00132469441849647;1,01191524071388;0,00135645059502328
"praticar";-0,389523711797104;0,127775469734004;0,660095844447035;-0,501295591230473;0,16444000122494;0,849507043060875;0,35823620996478;0,0316319742186027;0,610131815816634;0,000223452697102461;2,40443351815733e-05;0,000641699644193041;0,00147271191690124;0,323778216495365;0,000154387826788023
"protecao";-1,75235005584822;-0,373686024810654;-0,4938612543323;-0,942850139475464;-0,20106138008037;-0,265721538327766;0,922149760598861;0,0344114585607966;0,0434387808403488;0,0045337602571033;0,000206172401801264;0,000360102990371285;0,00147644345047446;0,907859421857791;0,00121689758101971
"social";-1,29116451908954;0,0956507126604353;-0,60599694068187;-0,90322432658155;0,0669117291038076;-0,423920554325506;0,880943725654065;0,00396726366382634;0,115089010682112;0,00236807454252794;1,29959676882241e-05;0,000521642618089016;0,00142047044687602;0,684393643285321;0,000665340770540543
"atividade";-1,42095073844307;-0,188919085664187;-0,0141540457891873;-0,991228954853008;-0,131786460127309;-0,00987360056544269;0,985645035992058;0,0142969635155515;5,80004924033953e-05;0,00289821067398776;5,1229908180808e-05;2,87563062396939e-07;0,00143539658116894;0,712061032711237;0,000727790440941497
"medida_cautelar";1,44657833630475;-0,920991202752638;-1,99798174592764;0,54940088166467;-0,349786365590301;-0,758820248591991;0,405843698976801;0,134994321859485;0,459161979163738;0,00273820369569303;0,00110992287531607;0,00522353934967726;0,00130852443967914;1,12969451555416;0,00166995158060765
"corte";0,820714289109583;-0,499378819975935;-0,260402889482159;0,824532130437906;-0,50170185629039;-0,261614245159368;0,733396803487355;0,222815246440218;0,0437879500724511;0,00101711199257581;0,000376569397059349;0,000102394441916439;0,00151002725263353;0,476783212676921;0,000343262765284173
"ordem";0,0316971338569227;0,0279516518390984;0,492478288043609;0,0641268213341646;0,0565492953265602;0,996338259821254;0,00690584467499914;0,00440678049633683;0,988687374828655;1,44090515043611e-06;1,12049613367834e-06;0,000347832039216057;0,00143415273664453;0,189762353551549;5,1643482692168e-05
"meio_ambiente";-1,85639525722554;-0,201958741803132;-0,779963718326103;-0,917330391617832;-0,0997971153976091;-0,385415993924216;0,897340078807613;0,00871507485946276;0,0939448463329284;0,00437227199156982;5,17477633293716e-05;0,000771818301608891;0,00126872141489802;0,974968051637968;0,00120599925586881
"rel";1,53668449865148;-1,16800533443785;-2,00710576131649;0,551847084720244;-0,419448715278157;-0,720782609624616;0,402278219598454;0,190711286232761;0,40701049416881;0,00265817824018161;0,00153569273738354;0,0045347692495319;0,00112567929459089;1,20536872228464;0,0016355149327008
"presidente_da_republica";0,773776664942618;-0,259306450463476;1,63061663452174;0,424353306274372;-0,142208410485741;0,894260051350349;0,268388487668783;0,024733689872264;0,706877822458937;0,000771537626905441;8,66467933327919e-05;0,00342633317208345;0,00128862292728858;0,743074151241415;0,00071152499721491
"constituicao_federal";0,492277767667388;-0,0733117844413685;1,09167540945509;0,410307384396232;-0,061104458692277;0,909897848902747;0,254143546386933;0,00462525696635328;0,741231196646698;0,000353878877198309;7,84841170306669e-06;0,00174028850269838;0,00146027347165714;0,48581301657868;0,000344645402351019
"orcamentar";1,16515636355354;5,39299840748614;-1,07968771040514;0,20724661367811;0,959253789864047;-0,192044285909318;0,0523851633506402;0,920937394372399;0,0266774422769642;0,00178825925609333;0,0383109254336524;0,00153553024416405;0,00131723135135001;2,53266954136474;0,00844926854615263
"materia";0,389240602318716;-0,488745958948299;0,321466386267649;0,553958355871708;-0,695572112069261;0,457503635910603;0,37060363488994;0,479478795759586;0,149917569350473;0,00021596679741315;0,000340499968029443;0,000147306480274465;0,00142544582497366;0,318098605988317;0,000144236192030863
"transporte";-1,64407343671499;-0,257435331720568;-0,472902449507302;-0,950333507694757;-0,148806869775478;-0,273354604241821;0,935288368829769;0,0188178089659759;0,0458938222042623;0,00113638429730297;2,7862437146808e-05;9,4021229492427e-05;0,000420419449250521;0,845759555100067;0,000300729910436422
"necessario";-0,211830268375588;0,420285877141015;0,285074754347586;-0,384967882463311;0,763802856848279;0,51807810737583;0,188522225586162;0,608983831942161;0,202493942471702;6,05022343906588e-05;0,000238168857964429;0,000109575358039289;0,00134832746446025;0,242719799460484;7,94338824969296e-05
