"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"168";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"169";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"170";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"171";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"172";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"173";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"174";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"175";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"176";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"177";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"178";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"179";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"180";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"181";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"182";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"183";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"184";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"185";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"186";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"187";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"188";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"189";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"190";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"191";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"192";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"193";0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;4;4
"194";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"195";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"196";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"197";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"198";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
"199";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
