"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"fundiario";-1,60140553438486;-0,370749310042457;-0,974231775474827;-0,225549213377406;0,973129775931654;0,0268702240683434;9,73666523025518e-05;5,21877160807653e-06;3,79671141512926e-05;0,932114324898075;3,29872379119427e-05
"fundar";-0,502597321748835;1,58803593955921;-0,301738524860618;0,953390718758547;0,162784946416994;0,837215053582938;9,59064747834836e-06;9,5747676077176e-05;3,79671141512926e-05;0,715263868871349;1,94240668010926e-05
"formato";-0,942120606803244;0,804521839718544;-0,760455859998387;0,649389624951088;0,726919146455615;0,273080853544379;2,52744583828851e-05;1,84308144745098e-05;2,84753356134695e-05;0,634478174135482;1,14631038150263e-05
"flexibilizacao";-1,04848400670043;-0,112974209708144;-0,994245026341238;-0,107129956574766;0,994054509668646;0,00594549033135633;4,17379590387965e-05;4,84580810503464e-07;3,79671141512926e-05;0,603823412489463;1,38429128422025e-05
"fernandes";0,560700373661137;1,73658772045716;0,307256291981982;0,951626802395499;0,168302691645601;0,831697308354302;4,97345322014502e-06;4,77078448100948e-05;1,58196308963719e-05;0,78476306124256;9,74256813184072e-06
"felix";1,90459566266254;-1,10851615617979;0,864271840756287;-0,503025034442361;0,851418706744582;0,148581293255422;5,73854680591044e-05;1,94392900863376e-05;1,58196308963719e-05;1,18518032972947;2,22210827268243e-05
"farmaceutico";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000125923624831575;2,20746857044464e-05;3,79671141512926e-05;1,09188726106643;4,52650689595102e-05
"excelente";1,04276901867442;2,8871002400685;0,339703554536616;0,940532559263734;0,202059973011562;0,797940026988344;2,06420978027903e-05;0,000158234550634594;1,89835570756463e-05;1,33199075997321;3,36806152821559e-05
"evocar";0,170757291298429;-0,123163008545874;0,811043614329713;-0,584985688418952;0,788639793375294;0,211360206624705;1,10704710889575e-06;5,75927964009873e-07;3,79671141512926e-05;0,110406120942831;4,6280057615006e-07
"esvaziamento";0,610280576352838;0,660351091294793;0,678715767725223;0,734401052995679;0,623767709197056;0,376232290802891;1,41405624273725e-05;1,65560751030354e-05;3,79671141512926e-05;0,443681521234889;7,47395141925396e-06
"estruturante";1,73019331718734;-1,71056880590267;0,711128223780026;-0,703062336740823;0,665096866539841;0,334903133460148;0,000113657172709481;0,000111093508815418;3,79671141512926e-05;1,2181630365267;5,63402049677421e-05
"essencia";0,610280576352838;0,660351091294793;0,678715767725223;0,734401052995679;0,623767709197056;0,376232290802891;1,41405624273725e-05;1,65560751030354e-05;3,79671141512926e-05;0,443681521234889;7,47395141925396e-06
"escultura";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;3,14809062078939e-05;5,5186714261116e-06;9,49177853782316e-06;1,09188726106643;1,13162672398776e-05
"englobar";0,359515707753373;-1,63947912088947;0,214197007046089;-0,976790480181138;0,0853738919486027;0,914626108051317;4,49836578573101e-06;9,35472031403794e-05;3,48031879720182e-05;0,706494146529208;1,73714536971439e-05
"encontro";-1,16188224933045;0,412764789798211;-0,942303974106953;0,33475845080034;0,938952596859515;0,0610474031404932;5,12544788086875e-05;6,46863840552653e-06;3,79671141512926e-05;0,688483475450045;1,79967726422051e-05
"encargo";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000125923624831575;2,20746857044464e-05;3,79671141512926e-05;1,09188726106643;4,52650689595102e-05
"empreender";-0,935085764070419;-0,638713209214499;-0,825752427455836;-0,564032737126839;0,806221440704413;0,193778559295558;3,31978897688306e-05;1,54888574856943e-05;3,79671141512926e-05;0,597967405000228;1,35757118337562e-05
"diversidade";-0,601925878913199;-0,77269515880052;-0,614538882754608;-0,788886532768001;0,540852818673276;0,459147181326662;1,37560459923026e-05;2,26685619677252e-05;3,79671141512926e-05;0,469955465591137;8,38534619891537e-06
"divergir";0,929370776044408;3,41283923957486;0,262748048409151;0,964864479114649;0,12583394833913;0,87416605166077;3,27933370004861e-05;0,000442220886665578;3,79671141512926e-05;1,50433076744386;8,59199991601004e-05
"ditame";-1,60140553438486;-0,370749310042457;-0,974231775474827;-0,225549213377406;0,973129775931654;0,0268702240683434;9,73666523025518e-05;5,21877160807653e-06;3,79671141512926e-05;0,932114324898075;3,29872379119427e-05
"discriminatorio";-1,26824564922764;-0,504731259628478;-0,929123757705734;-0,369768904678013;0,924561680247973;0,075438319752016;6,10680918722471e-05;9,67226069914478e-06;3,79671141512926e-05;0,757336126910047;2,17763424047653e-05
"diminuir";-1,60140553438486;-0,370749310042457;-0,974231775474827;-0,225549213377406;0,973129775931654;0,0268702240683434;9,73666523025518e-05;5,21877160807653e-06;3,79671141512926e-05;0,932114324898075;3,29872379119427e-05
"desviar";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,082828594551212;5,24681770131565e-05;9,197785710186e-06;1,58196308963719e-05;1,09188726106643;1,88604453997959e-05
"desfavor";-0,491085760913303;-0,773621413240313;-0,535928460700144;-0,844263397886924;0,438894291787936;0,561105708211991;8,39331864308627e-06;2,08293631372965e-05;3,48031879720182e-05;0,425628414791475;6,30492978379925e-06
"desafiar";1,05683870414007;0,000630142202416898;0,999999822241817;0,000596251904794402;0,999999816852037;1,83147969260577e-07;4,24057753005623e-05;1,50759511337987e-11;3,79671141512926e-05;0,606822936268708;1,39807851971959e-05
"denatran";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000104936354026313;1,8395571420372e-05;3,16392617927439e-05;1,09188726106643;3,77208907995919e-05
"deferencia";-0,601925878913199;-0,77269515880052;-0,614538882754608;-0,788886532768001;0,540852818673276;0,459147181326662;1,37560459923026e-05;2,26685619677252e-05;3,79671141512926e-05;0,469955465591137;8,38534619891537e-06
"culpa";-0,502597321748835;1,58803593955921;-0,301738524860618;0,953390718758547;0,162784946416993;0,837215053582938;7,99220623195697e-06;7,97897300643134e-05;3,16392617927439e-05;0,715263868871349;1,61867223342438e-05
"covid19";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;9,44427186236816e-05;1,65560142783348e-05;2,84753356134695e-05;1,09188726106643;3,39488017196327e-05
"correr";-1,38164389185765;0,0210077398778771;-0,999884425737951;0,0152031301608414;0,999880914969429;0,000119085030577819;7,24769369615892e-05;1,67558417698958e-08;3,79671141512926e-05;0,793368987111129;2,38978058061743e-05
"constitutivo";0,0503242059355893;1,84581103989352;0,0272538800674315;0,999628544020863;0,00144082327933475;0,998559176720564;9,61526924586908e-08;0,000129354656318246;3,79671141512926e-05;0,761245626348232;2,20017491563762e-05
"compulsoriedade";-1,48800729175484;-0,896488309548811;-0,856555940962487;-0,516054183203536;0,842466092126789;0,157533907873187;8,40654818937586e-05;3,05138389178494e-05;3,79671141512926e-05;0,930855099359879;3,28981709091272e-05
"comparecimento";-1,60140553438486;-0,370749310042457;-0,974231775474827;-0,225549213377406;0,973129775931654;0,0268702240683434;9,73666523025518e-05;5,21877160807653e-06;3,79671141512926e-05;0,932114324898075;3,29872379119427e-05
"cobap";0,688336453537766;2,83758297976919;0,235741557192811;0,971815784093008;0,102515361789419;0,89748463821048;1,499090603041e-05;0,000254755449612127;3,16392617927438e-05;1,23441029047775;4,82109188749507e-05
"classificar";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"charge";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000104936354026313;1,8395571420372e-05;3,16392617927439e-05;1,09188726106643;3,77208907995919e-05
"cfoab";0,522957010044787;3,4162355058541;0,151317229640412;0,988485253311323;0,0435085866214645;0,956491413378432;7,78754966318377e-06;0,000332326103603155;2,84753356134695e-05;1,43956652475793;5,90109124219938e-05
"cautelarmente";-0,722358964276039;1,19627888963888;-0,516909672665393;0,856039946675946;0,414444760141861;0,585555239858102;1,98113340670671e-05;5,43340985232296e-05;3,79671141512926e-05;0,644277519528121;1,57599031396642e-05
"cancelamento";-1,04848400670043;-0,112974209708144;-0,994245026341238;-0,107129956574766;0,994054509668646;0,00594549033135633;4,17379590387965e-05;4,84580810503464e-07;3,79671141512926e-05;0,603823412489463;1,38429128422025e-05
"butantan";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000125923624831575;2,20746857044464e-05;3,79671141512926e-05;1,09188726106643;4,52650689595102e-05
"autoria";-1,60140553438486;-0,370749310042457;-0,974231775474827;-0,225549213377406;0,973129775931654;0,0268702240683434;9,73666523025518e-05;5,21877160807653e-06;3,79671141512926e-05;0,932114324898075;3,29872379119427e-05
"autoral";-0,135312987359418;0,654654695138256;-0,202415082246333;0,97929981848217;0,0765793212169006;0,923420678783017;6,37232608781891e-07;1,49156986693545e-05;3,48031879720182e-05;0,2807611185158;2,74342413497522e-06
"alheio";1,10501193828521;-0,786959477173342;0,814546680710521;-0,580098013221449;0,792842676075772;0,207157323924228;3,8633164392948e-05;1,95943599444712e-05;3,16392617927439e-05;0,712568629189573;1,60649633555686e-05
"adiar";-0,502597321748835;1,58803593955921;-0,301738524860618;0,953390718758547;0,162784946416994;0,837215053582938;9,59064747834836e-06;9,5747676077176e-05;3,79671141512926e-05;0,715263868871349;1,94240668010926e-05
"adaptar";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000125923624831575;2,20746857044464e-05;3,79671141512926e-05;1,09188726106643;4,52650689595102e-05
"acolho";1,08812831572643;2,67680464026596;0,376577974020838;0,926384925116099;0,242861946349027;0,757138053650882;3,74616209896645e-05;0,000226704267255243;3,16392617927438e-05;1,26780836863298;5,08549896563602e-05
"acionar";-0,382164236385995;-0,380938108880186;-0,708242022646147;-0,705969714193247;0,661436885283141;0,338563114716811;5,54507817387637e-06;5,50955383441451e-06;3,79671141512926e-05;0,269810642158207;2,76392172276378e-06
"acentuar";-0,26876599375598;-0,906677108386541;-0,284205878942731;-0,958763275461878;0,145714822318777;0,854285177681125;2,74256054266294e-06;3,12113741452374e-05;3,79671141512926e-05;0,404273887002288;6,20524550024287e-06
"à";0,83473211403526;0,0899514419264315;0,994243883148846;0,107140565712074;0,994053325449319;0,0059466745506839;1,98409789181776e-05;2,30401398271223e-07;2,84753356134695e-05;0,480723683544072;6,58051508490911e-06
"xxv";-1,09427288202358;-1,05483061360502;-0,71996299501573;-0,694012453640409;0,676273112237729;0,323726887762225;4,16744906669057e-05;3,87243804475112e-05;3,48031879720182e-05;0,764043023182723;2,03167696124385e-05
"xxii";-1,45772002946782;-0,908668486783904;-0,848627363188889;-0,528991113769479;0,833213318347304;0,16678668165267;7,3954953687804e-05;2,87362412165158e-05;3,48031879720182e-05;0,916957606454271;2,92629120535393e-05
"wyeth";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"voluntario";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"visao";-0,251345787247262;-0,346250086054495;-0,587449234334949;-0,809261019127502;0,505653162252819;0,494346837747115;2,19868112508077e-06;4,17252365199406e-06;3,48031879720182e-05;0,202954406313988;1,43356040240362e-06
"vasto";-1,45772002946782;-0,908668486783904;-0,848627363188889;-0,528991113769479;0,833213318347304;0,16678668165267;7,3954953687804e-05;2,87362412165158e-05;3,48031879720182e-05;0,916957606454271;2,92629120535393e-05
"transgressao";-0,491085760913303;-0,773621413240313;-0,535928460700144;-0,844263397886924;0,438894291787936;0,561105708211991;8,39331864308627e-06;2,08293631372965e-05;3,48031879720182e-05;0,425628414791475;6,30492978379925e-06
"transformacao";-1,21798005580178;-0,481297159598086;-0,930020712621859;-0,367507107542601;0,925546207746455;0,074453792253534;5,16296737664328e-05;8,06205254714736e-06;3,48031879720182e-05;0,726932962038262;1,8391101914096e-05
"transexual";-1,21798005580178;-0,481297159598086;-0,930020712621859;-0,367507107542601;0,925546207746455;0,074453792253534;5,16296737664328e-05;8,06205254714736e-06;3,48031879720182e-05;0,726932962038262;1,8391101914096e-05
"transcurso";0,096752612416269;2,65646425752376;0,0363974419158838;0,999337393587361;0,00256837307081365;0,997431626929084;3,25795009549047e-07;0,000245599218720678;3,48031879720182e-05;1,0961926462565;4,18208442455306e-05
"tiangua";0,815972533414393;3,93857823908121;0,202866487465234;0,979206407384836;0,0769085103257154;0,923091489674182;1,26394644476583e-05;0,000294480503166091;1,89835570756463e-05;1,68943535465909;5,41827132737226e-05
"telefonico";-1,55745320587942;-0,29239790005839;-0,982829248124922;-0,184517394925792;0,982166117287047;0,0178338827129518;7,67461072160953e-05;2,70504715700845e-06;3,16392617927439e-05;0,902351554987203;2,57618996462042e-05
"telefone";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;9,44427186236816e-05;1,65560142783348e-05;2,84753356134695e-05;1,09188726106643;3,39488017196327e-05
"suspeito";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000104936354026313;1,8395571420372e-05;3,16392617927439e-05;1,09188726106643;3,77208907995919e-05
"sufragio";0,096752612416269;2,65646425752376;0,0363974419158838;0,999337393587361;0,00256837307081365;0,997431626929084;3,25795009549047e-07;0,000245599218720678;3,48031879720182e-05;1,0961926462565;4,18208442455306e-05
"solidario";-0,854532908357542;-0,6274592864192;-0,806044171788208;-0,591855381935707;0,782624955462922;0,217375044537045;2,54142098446386e-05;1,37021945537776e-05;3,48031879720182e-05;0,554632333483625;1,07060531564922e-05
"sofrimento";-1,45772002946782;-0,908668486783904;-0,848627363188889;-0,528991113769479;0,833213318347304;0,16678668165267;7,3954953687804e-05;2,87362412165158e-05;3,48031879720182e-05;0,916957606454271;2,92629120535393e-05
"socioambiental";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000104936354026313;1,8395571420372e-05;3,16392617927439e-05;1,09188726106643;3,77208907995919e-05
"socio";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"sergio";-0,862207282247897;0,946978948780483;-0,673235773406122;0,739427882491769;0,616735443729588;0,383264556270396;2,58727385779871e-05;3,12104245791734e-05;3,48031879720182e-05;0,630398934653153;1,38308849341117e-05
"semana";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"sedimentar";-0,862207282247897;0,946978948780483;-0,673235773406122;0,739427882491769;0,616735443729588;0,383264556270396;2,58727385779871e-05;3,12104245791734e-05;3,48031879720182e-05;0,630398934653153;1,38308849341117e-05
"satisfeito";1,44218277619574;-0,503527266153133;0,944110516352621;-0,329629083838772;0,940912311432425;0,0590876885675842;7,23868430012753e-05;8,82399010752959e-06;3,48031879720182e-05;0,85368758754665;2,53639542383746e-05
"saldo";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"roraima";1,08812831572643;2,67680464026596;0,376577974020838;0,926384925116099;0,242861946349027;0,757138053650882;1,87308104948323e-05;0,000113352133627621;1,58196308963719e-05;1,26780836863298;2,54274948281801e-05
"rigor";-0,622467308581855;1,3743502759663;-0,412573562131496;0,910924286551922;0,284792155509478;0,715207844490469;1,34850363781415e-05;6,57376076653552e-05;3,48031879720182e-05;0,669739285101198;1,56109946753859e-05
"revelador";1,31080122852719;1,64444442305348;0,623315548744986;0,781970412926689;0,552245829456473;0,447754170543466;5,97988327257292e-05;9,41146925316431e-05;3,48031879720182e-05;1,01280037924845;3,56998784744302e-05
"resumir";-0,498760134803658;0,800816821959369;-0,52866411720596;0,848831108748285;0,429537857988186;0,570462142011778;8,65769923326359e-06;2,23195483358196e-05;3,48031879720182e-05;0,436962581005187;6,645191842088e-06
"repetitivo";1,06338688097079;2,79151133106735;0,355981877990185;0,934492858475966;0,219776147179657;0,78022385282025;3,93551546521694e-05;0,000271205078184575;3,48031879720182e-05;1,30242960139159;5,90374435868532e-05
"remuneratorio";0,591581307529061;0,362330441496028;0,852762831581787;0,522298337229415;0,838046183449531;0,161953816550444;1,21800175205441e-05;4,56907906709032e-06;3,48031879720182e-05;0,371051083905211;4,79166487548226e-06
"remoto";-1,45772002946782;-0,908668486783904;-0,848627363188889;-0,528991113769479;0,833213318347304;0,16678668165267;7,3954953687804e-05;2,87362412165158e-05;3,48031879720182e-05;0,916957606454271;2,92629120535393e-05
"regressividade";-1,82116717691206;-0,76250635996279;-0,922412605922497;-0,386205883480908;0,917171405448775;0,0828285945512121;0,000115429989428944;2,02351285624092e-05;3,48031879720182e-05;1,09188726106643;4,1492979879551e-05
"regis";0,815972533414393;3,93857823908121;0,202866487465234;0,979206407384836;0,0769085103257155;0,923091489674182;2,31723514873735e-05;0,000539880922471168;3,48031879720182e-05;1,68943535465909;9,93349743351582e-05
