"";"classe 1";"classe 2";"classe 3"
"tema";-5,166;3,129;0,618
"material";0,45;9,907;-15,992
"legitimar";-68,892;78,632;0,159
"evento";142,436;-53,587;-37,801
"incluir";12,655;3,129;-34,677
"constituicao_da_republica";-43,759;18,177;10,217
"superveniente";-140,196;-30,984;371,327
"pagamento";81,916;-17,739;-36,457
"possuir";-4,42;6,234;-0,024
"imunizacao";190,359;-67,035;-54,615
"sessao";-48,316;-37,848;203,733
"previsao";1,729;3,129;-11,032
"sp";-19,453;15,431;1,034
"prejudicar";-78,544;-15,68;201,963
"promover";87,894;-37,76;-19,579
"partir";21,638;-16,174;-1,432
"membro";-17,615;-19,904;88,079
"anterior";-26,925;49,445;-1,634
"acercar";5,608;-1,121;-2,639
"sao_paulo";-5,881;10,266;-0,263
"mostrar";-38,131;119,774;-17,354
"momento";5,608;-3,616;-0,576
"indicar";1,3;-7,752;2,413
"ensino";114,128;-27,319;-47,124
"pena";1,507;0,761;-5,295
"luiz_fux";-106,331;22,761;47,714
"causar";-8,474;19,91;-1,558
"rosa_weber";-90,169;15,257;47,077
"fundamental";0,385;0,598;-2,264
"especie";-56,362;44,308;3,102
"disposto";5,263;-0,458;-3,731
"atendimento";5,661;3,166;-20,709
"politicar";4,321;-18,961;4,371
"juizo";-0,9;1,555;-0,038
"concessao";-0,093;-10,435;13,436
"instituto";0,324;0,03;-0,691
"firmar";-13,299;14,69;0,058
"execucao";17,499;-19,269;-0,08
"sucedaneo";-137,477;317,592;-23,734
"ficar";21,471;-30,22;0,115
"evitar";-2,555;27,609;-12,703
"cumprimento";21,314;-25,45;-0,011
"aplicar";0,007;-13,026;13,035
"ressaltar";6,111;-2,87;-1,19
"jurisdicional";-70,247;83,739;0,04
"submeter";-3,61;11,819;-1,833
"governo";120,063;-45,915;-31,227
"violar";-7,255;16,064;-1,063
"exercer";2,59;-0,117;-2,225
"controle_de_constitucionalidade";-93,639;194,737;-10,548
"revogar";-19,017;0,47;18,395
"prova";14,036;-0,079;-16,01
"impossibilidade";-68,812;36,568;10,817
"estatal";-3,95;19,818;-5,266
"enem";125,997;-43,969;-36,523
"nota";78,637;-37,836;-14,726
"maneira";-10,056;42,521;-9,387
"destinar";3,695;4,413;-18,985
"controle_concentrado";-132,093;294,333;-19,844
"coletivo";-0,214;52,294;-47,528
"razoar";-15,692;-0,014;21,693
"mero";-37,922;60,14;-0,83
"contrato";97,76;-27,737;-34,962
"area";118,947;-26,407;-51,992
"editar";2,588;-1,068;-0,61
"demanda";0,174;-9,69;7,387
"pleito";-48,925;-21,158;162,05
"diploma";-28,397;-1,24;52,476
"deferir";0,014;-45,817;46,421
"cientificar";127,41;-33,539;-48,682
"crianca";156,717;-50,239;-49,78
"solucao";-6,762;73,568;-33,968
"proc";-2,976;-0,628;7,777
"organizacao";110,953;-38,209;-32,643
"secretaria";103,406;-47,62;-20,771
"regimento_interno";-96,07;-39,705;312,937
"quadro";10,8;-23,191;1,396
"prejuizo";9,718;-18,946;0,809
"postulado";-79,66;188,383;-14,995
"peticao";-2,732;-40,567;71,082
