motivo;65;22;22
combate;90;12;10
alterar;67;10;37
restar;24;26;61
receber;67;8;27
real;45;54;5
proposito;29;56;23
fatico;48;11;53
constatar;24;66;22
circunstanciar;48;36;27
indeferimento;28;14;66
democratico;51;7;50
comissao;64;10;22
negro;7;11;91
identificacao;84;2;10
cessar;5;102;4
projeto;66;19;18
direitos_humanos;94;0;3
beneficiar;80;2;18
repercussao_geral;13;58;29
obrigacao;84;14;10
ix;35;7;59
discussao;25;60;23
crime;78;1;16
abril;63;0;38
unanimidade;12;2;78
seguranca_juridica;35;25;44
resultante;7;84;4
expressar;51;16;41
vigencia;43;18;42
valer;48;53;6
suspender;68;2;33
sociedade;97;3;5
recurso_extraordinario;7;60;32
medicar;96;0;5
examinar;31;36;40
estabelecimento;82;9;9
comunicacao;89;2;5
cidadao;82;1;20
agir;41;18;43
advocacia_geral_da_uniao;43;8;51
reflexo;10;68;24
poder_executivo;59;13;32
incabivel;3;92;11
hora;82;12;4
federado;88;12;5
estrangeiro;88;4;10
vincular;44;18;41
reparar;7;84;14
reajuste;69;13;4
partido_dos_trabalhadores;15;6;49
obrigatorio;62;30;11
curso;55;12;34
competir;69;16;18
advogado;24;4;61
seguranca_publica;61;9;20
resultar;21;37;44
popular;35;41;24
determinacao;77;6;20
compreender;46;39;18
coisa;20;46;17
rio_de_janeiro;37;14;27
isencao;93;0;1
institucional;75;11;17
estudo;90;3;4
consequencia;49;11;43
comprovar;66;27;8
comprovacao;67;29;4
politicas_publicas;88;10;1
jurisdicao;25;44;28
identificar;53;27;11
excepcional;56;20;22
referente;69;11;21
prevencao;53;4;37
paciente;90;0;0
omissivo;10;74;7
despacho;51;6;40
capacidade;83;8;7
maximo;81;8;7
inscricao;80;2;3
alinea;29;4;56
afronta;41;31;28
vigor;76;8;15
vedacao;53;10;29
solicitar;66;2;31
publicacao;57;9;25
distribuicao;53;24;19
clausular;42;45;10
cear;26;20;19
carlos;5;63;21
substituir;50;39;9
oficiar;60;1;24
julho;69;1;20
improvido;0;98;0
economia;78;5;6
america;72;10;1
vii;67;12;18
seguir;72;7;13
procedencia;32;4;56
pleitear;46;8;43
parcial;23;7;61
juiz;34;9;44
inscrever;25;59;11
avaliacao;88;2;1
regiao;71;7;8
produzir;53;13;24
oficial;66;11;8
milhao;69;1;0
lc;26;9;46
integrar;55;15;20
inconstitucional;43;14;38
comum;72;15;9
agosto;48;2;44
potencialidade;1;94;0
pessoal;74;8;7
obter;55;22;18
minas_gerais;35;8;30
dano;35;39;14
constar;64;2;23
venezuelano;67;14;5
suscitar;13;50;30
sintese;54;10;30
relatar;26;12;54
reiterar;39;25;29
prestacao;70;14;10
existente;31;50;13
consagrar;20;67;6
barbosa;2;44;7
universidade;74;5;6
suficiente;37;37;19
responsabilidade;71;4;14
producao;75;11;4
policial;56;4;16
noticiar;68;7;15
luis_roberto_barroso;7;21;58
imprensa;73;5;8
federacao;57;9;7
certo;54;21;18
ad;27;18;40
acompanhar;39;15;31
abuso;21;8;54
retirar;61;19;9
pesquisa;75;3;2
medida_liminar;33;13;46
eleger;24;24;44
desenvolvimento;81;7;2
conduta;55;4;30
associacao;30;21;17
alcance;27;48;16
procuradoria_geral_da_republica;13;14;62
partido_socialismo_e_liberdade;5;1;39
morte;62;2;14
forca;51;7;32
competente;58;10;23
sistematico;21;53;15
incompativel;24;48;18
cenario;74;5;9
procurador_geral_do_estado;1;0;5
orcamentar;55;7;13
interessado;42;32;14
integrante;42;22;24
danoso;2;86;1
cidadania;30;0;31
cassacao;17;1;69
ans;61;4;11
agente;61;11;6
reqte;4;1;6
republicano;24;3;46
mes;72;0;9
forcar;71;2;3
fase;61;8;13
anexo;75;1;8
vereador;28;1;36
participacao;57;4;21
junho;45;1;34
invocar;18;38;31
infraconstitucional;15;53;19
https;79;0;3
federativo;62;8;15
condicionar;14;63;9
compulsorio;76;8;2
aptar;13;56;18
amicus_curiae;12;17;46
agu;50;9;26
tramitar;4;47;31
trabalhador;57;0;9
rtj;1;53;4
presenca;23;39;13
classe;23;28;27
atuar;55;16;13
alcancar;40;22;24
administracao;66;7;9
viii;36;6;42
solver;0;84;1
novembro;32;5;43
nivel;79;3;0
melhor;67;8;8
lado;36;23;12
expressao;47;21;12
estrutura;69;6;5
esfera;55;11;18
dividir;69;2;3
cpc;9;11;61
consubstanciar;32;22;26
agremiacao;24;15;43
virtude;31;22;30
revestir;9;63;12
regular;43;17;22
particular;53;17;14
ocorrencia;57;9;16
juntar;32;5;44
indeferir;12;28;42
decorrencia;30;20;30
convocacao;34;12;32
consumidor;63;6;2
vinculante;15;34;33
tutela_provisoria;23;11;24
turma;5;28;35
partido_socialista_brasileiro;8;5;28
colocar;67;11;4
suplementar;58;5;13
secovid;38;0;1
rede;74;6;0
mesa_diretora;2;3;71
indicado;33;22;23
imposto;61;11;8
declaratorio;1;35;45
contido;28;19;34
campanha;72;1;5
rede_sustentabilidade;28;3;29
medir;35;0;0
ensejar;20;29;32
superior_tribunal_de_justica;7;14;48
substancial;14;4;60
revisao;23;29;21
requisicao;66;2;3
recomendacao;73;0;4
promocao;68;3;5
principal;54;15;11
legislador;25;35;14
familia;70;1;4
definitivo;28;16;35
contemplar;51;18;10
conformidade;26;9;45
bolsonaro;46;1;0
aptidao;3;72;5
prejudicialidade;5;12;59
inadequacao;11;34;33
grau;32;19;24
gerar;62;5;10
franco;70;2;1
direitos_fundamentais;66;6;7
crise;65;12;2
crfb;24;8;25
apoiar;61;4;9
alto;59;2;11
abastecimento;71;2;4
qualidade;38;4;28
psb;10;3;27
luz;47;10;20
limitacao;57;4;11
indice;52;15;2
deferimento;45;5;25
casa;34;6;33
aspecto;44;22;12
vigente;36;19;21
versar;19;15;43
silva;15;0;13
semelhante;17;40;20
implementacao;67;5;2
grande;66;4;5
gestao;70;2;5
direito_constitucional;23;23;25
complexo;22;29;24
verificacao;12;4;7
pronunciamento;18;36;22
procedente;19;7;50
mudanca;40;1;32
incidir;19;36;21
importante;45;24;6
duvidar;33;28;14
candidatura;4;2;66
agte;0;0;5
agricultura;66;2;6
zona;66;3;0
superar;26;35;13
recepcao;9;25;39
realidade;40;26;8
qo;0;66;4
public;3;49;15
propor;25;24;24
ministerio_publico;28;5;39
jurisprudencial;7;27;40
investigar;31;3;28
estudante;61;0;2
depender;45;15;13
creditar;63;2;1
consistente;17;49;8
assinalar;37;26;12
acrescentar;40;18;17
vice;8;2;56
viabilizar;35;28;11
rescisorio;0;54;19
proteger;56;5;11
potencial;46;14;9
posterior;36;3;29
operacionalizacao;69;0;0
mundial;69;0;0
listar;37;0;31
implementar;71;2;1
fundo;49;6;16
formal;19;36;19
definicao;50;10;13
consideracao;42;17;15
claro;43;14;15
transcrever;26;8;39
sentenca;16;14;40
rito;15;4;54
referendo;32;2;27
propriedade;51;16;1
manutencao;53;5;13
jurisdicao_constitucional;8;53;11
instancia;15;32;25
ilegitimidade;11;25;34
baixo;66;0;1
aquisicao;65;0;1
apreciado;3;46;24
vacinar;65;0;0
perigo;62;6;2
indigena;63;1;0
explicitar;32;29;11
estrategico;65;5;0
devido_processo_legal;37;7;27
anotar;23;29;20
sc;10;36;23
referendar;45;1;25
razoavel;35;12;22
mundo;66;2;1
mulher;55;2;6
modalidade;40;25;3
merecer;21;11;39
humano;65;0;2
cid;6;0;0
autonomo;20;35;6
viavel;7;49;4
terra;50;17;1
resultado;47;11;10
recorrente;14;11;37
protocolo;67;1;0
pressupor;10;48;10
prescricao;23;10;31
maio;33;3;31
jair;38;0;0
interpretar;12;24;29
fundamentar;39;18;12
enfrentar;43;8;16
distinto;52;9;6
diplomata;38;16;11
denominar;35;25;4
britto;2;61;3
atualizacao;57;5;3
atingir;50;5;13
assistencia;69;0;1
agropecuario;58;2;2
adequacao;25;19;22
tribunal_de_contas;26;3;10
total;53;3;11
pretendido;21;30;17
policia_federal;41;1;4
parlamentar;18;8;37
obstar;9;43;17
luiz;12;2;20
justificativo;64;0;2
ingresso;18;5;42
goias;21;1;19
fisico;61;5;1
esgotamento;6;31;3
desprover;6;45;17
decorrer;33;10;25
cronograma;62;0;3
consolidado;14;29;25
consignar;34;19;15
comando;45;7;15
ajuizar;11;21;36
tacito;60;2;5
recorrer;8;20;38
pecar;28;6;33
participar;35;3;27
oportunidade;34;10;23
limitar;44;7;16
deter;11;32;24
desenvolver;61;3;4
descrever;30;7;27
criacao;54;2;11
apresentacao;63;0;3
universitario;54;4;4
tocante;35;16;16
situar;36;16;5
sanches;0;66;1
retorno;60;0;4
procedibilidade;0;65;2
problema;40;18;4
privativo;46;13;8
poder_legislativo;26;14;27
pecuaria;59;0;5
pais;61;0;1
obstante;29;21;17
nulidade;24;4;38
mauro;0;0;4
lugar;41;9;13
intimar;19;1;44
inexistir;16;34;17
galvao;0;60;2
funcionamento;50;11;4
contribuicao;52;7;7
aludir;26;6;35
acarretar;27;15;25
sydney;0;64;2
recomendar;62;3;0
preventivo;25;31;7
preencher;14;27;24
obice;10;34;22
neutralizar;0;64;1
inviabilidade;5;50;11
instaurar;15;25;25
extraordinario;24;28;10
divulg;2;48;14
criminal;42;1;15
seguro;60;2;1
proporcionalidade;43;11;6
medico;48;0;2
iniciativa;44;7;12
incluido;40;3;8
extrair;17;31;17
erro;21;11;32
enfatizar;28;26;11
criticar;31;31;0
cobranca;50;8;0
chegar;23;21;17
beneficio;59;0;3
vigilancia;62;0;0
pet;5;13;30
partido_democratico_trabalhista;6;2;30
opinar;10;7;47
operacao;47;0;6
natural;46;3;12
narrar;44;8;12
mapa;53;1;4
interposicao;0;33;31
insumo;60;2;1
ilmar;0;60;0
divulgacao;55;1;2
deduzir;12;28;24
contraditorio;36;8;19
consistir;28;21;13
buscar;28;21;14
basico;46;15;3
aumento;55;0;7
ampliar;23;33;8
vedar;29;8;26
suspensivo;2;6;53
sancao;39;3;20
representante;53;1;2
ref;17;31;10
querer;39;6;9
preso;52;1;8
presidencial;21;15;15
posicao;40;13;9
pa;1;60;1
originar;14;27;19
mg;10;20;31
inclusao;51;2;9
fiscal;48;6;5
extinto;8;16;39
escola;54;0;2
disciplinar;25;4;32
disciplina;30;16;17
consequente;12;23;28
compreensao;16;33;13
cidade;37;3;2
anual;49;3;10
abono;41;0;1
santo;15;1;6
retrocesso;51;5;5
presencial;55;1;5
positivo;7;44;9
periculum_in_mora;30;2;30
indevido;31;8;23
governamental;51;6;5
eficiencia;54;2;3
conter;33;16;4
camar;23;1;27
ab;0;2;8
separacao_dos_poderes;33;15;12
reeleicao;9;1;46
receita;57;1;0
proceder;28;11;20
prisao;15;1;38
postular;12;19;30
pis;52;2;3
origem;33;7;18
irregularidade;27;6;22
inviabilizar;12;34;15
cuidar;40;4;17
condenacao;10;2;48
calcular;51;5;0
atualizar;57;1;0
assembleia_legislativa;5;0;49
am;4;2;7
preservar;38;17;5
partidos_politicos;11;13;36
outubro;21;3;25
impacto;56;1;1
encaminhar;40;2;10
diplomatico;47;4;1
confirmacao;22;23;14
tratado;45;7;4
servir;24;30;4
previdencia;44;3;5
pertinente;25;18;16
passo;28;8;23
pags;41;4;14
jornada;41;4;5
inserir;38;7;14
ilicito;23;3;30
estado_democratico_de_direito;30;11;16
confirmar;38;4;12
cobertura;54;0;2
bastar;10;46;3
visita;36;0;7
salientar;28;16;14
referenciar;24;21;12
redator;3;28;15
presidencia;8;3;46
planejamento;55;0;2
modificacao;26;3;29
manejo;12;36;10
instrucao;31;4;19
guarulhos;28;2;17
fixacao;25;18;15
epidemiologico;58;0;0
dirigir;14;32;11
desprovimento;1;44;12
contratacao;45;3;7
cientifico;56;1;0
central;50;0;7
afastamento;19;2;37
xiv;22;0;35
vara;14;3;29
tributar;38;8;3
recebimento;42;3;8
passivel;12;31;14
liberdade_de_expressao;40;7;9
jornalista;40;1;9
inss;39;6;3
formacao;32;9;15
evidente;28;9;20
ementado;19;11;27
divulgar;56;0;1
diario;38;4;12
demandar;31;24;2
copa;48;3;1
confederacao;25;5;26
cheque;48;1;0
assentimento;45;2;4
tabela;48;2;4
subsidiar;13;37;4
rs;7;25;7
residual;2;25;27
renda;48;0;0
proibicao;30;6;16
predeterminado;29;19;7
inutilidade;1;5;1
integral;37;3;16
inadmissibilidade;7;32;16
importancia;45;7;3
idade;52;0;0
habilitacao;41;2;3
exterior;45;2;5
direito_fundamental;41;6;7
dignidade_da_pessoa_humana;46;6;2
demonstracao;11;36;5
assessorar;6;0;0
apuracao;39;4;9
agentes_publicos;51;1;2
xiii;31;17;5
traduzir;28;21;6
sr;34;1;18
restringir;40;10;5
recente;28;9;16
prioridade;51;0;2
pr;7;14;25
permanente;51;1;2
mec;48;2;1
initio;0;1;2
individuo;39;5;9
identico;4;39;12
extrato;8;11;25
excluir;30;7;17
estrito;36;6;13
emprego;35;6;13
emenda;15;6;30
disponibilizar;52;0;3
convencao;45;2;0
amparo;21;28;6
universal;35;7;12
tributario;30;7;4
titulo;34;6;11
temporario;24;7;19
salarial;33;0;3
reduzir;48;4;1
publicidade;47;3;3
provocar;25;13;15
prosseguimento;7;6;40
processamento;11;20;23
participante;54;0;0
pacificar;4;25;23
ostentar;9;29;16
menstrual;40;1;1
jose;29;1;10
formulacao;31;17;6
emenda_constitucional;25;10;15
distribuir;19;3;29
deliberacao;23;11;20
comunidade;50;1;1
casu;7;23;20
acolher;19;4;30
vencer;4;3;39
roberto;2;31;10
pfizer;53;0;0
ocasiao;19;4;27
medicamento;47;1;1
longo;46;3;4
fundado;32;14;7
filho;28;2;17
exclusivo;37;6;9
democracia;37;4;10
corresponder;36;11;4
copiar;17;12;19
combater;37;7;9
abranger;30;3;19
veiculo;40;4;5
suspenso;24;0;27
rumo;8;0;0
reserva;28;10;9
pt;23;3;21
inadmissivel;1;43;8
ilegal;8;32;12
eletivo;0;0;48
dimensao;22;28;2
contradicao;3;4;41
conflito;29;14;9
br;48;1;0
bojo;13;9;30
barroso;3;31;0
amplitude;17;30;5
amazona;43;0;3
al;4;8;25
transporte;36;3;2
teori_zavascki;0;44;5
solidariedade;4;2;31
resposta;33;7;11
