"";"classe 1";"classe 2";"classe 3"
"universidade";0;0;0
"suficiente";0,173;0,009;0,261
"responsabilidade";0;0;0,034
"producao";0;0,001;0
"policial";0;0;0,373
"noticiar";0;0;0,054
"luis_roberto_barroso";0;0,497;0
"imprensa";0;0;0,001
"federacao";0;0,003;0,002
"certo";0,029;0,27;0,173
"ad";0,005;0,179;0
"acompanhar";0,863;0,038;0,02
"abuso";0;0;0
"retirar";0;0,18;0,001
"pesquisa";0;0;0
"medida_liminar";0,035;0,004;0
"eleger";0;0,731;0
"desenvolvimento";0;0;0
"conduta";0,004;0;0,075
"associacao";0,655;0,555;0,925
"alcance";0,001;0;0,082
"procuradoria_geral_da_republica";0;0,011;0
"partido_socialismo_e_liberdade";0;0;0
"morte";0;0;0,125
"forca";0,06;0;0,028
"competente";0,001;0;0,961
"sistematico";0;0;0,061
"incompativel";0;0;0,23
"cenario";0;0;0,001
"procurador_geral_do_estado";0,139;0,13;0,001
"orcamentar";0;0;0,104
"interessado";0,863;0,068;0,038
"integrante";0,863;0,572;0,702
"danoso";0;0;0
"cidadania";0,711;0;0
"cassacao";0;0;0
"ans";0;0;0,027
"agente";0;0,007;0
"reqte";0,487;0,168;0,027
"republicano";0,017;0;0
"mes";0;0;0,003
"forcar";0;0;0
"fase";0;0;0,044
"anexo";0;0;0,001
"vereador";0,545;0;0
"participacao";0;0;0,982
"junho";0,09;0;0
"invocar";0;0,001;0,03
"infraconstitucional";0;0;0,432
"https";0;0;0
"federativo";0;0;0,096
"condicionar";0;0;0,001
"compulsorio";0;0;0
"aptar";0;0;0,302
"amicus_curiae";0;0,33;0
"agu";0,026;0;0,28
"tramitar";0;0;0,01
"trabalhador";0;0;0,027
"rtj";0;0;0,001
"presenca";0,005;0;0,104
"classe";0,002;0,104;0,064
"atuar";0,001;0,076;0,035
"alcancar";0,955;0,662;0,607
"administracao";0;0;0,002
"viii";0,466;0;0
"solver";0;0;0
"novembro";0,221;0;0
"nivel";0;0;0
"melhor";0;0;0,001
"lado";0,51;0,374;0,096
"expressao";0,032;0,773;0,031
"estrutura";0;0;0
"esfera";0,001;0,003;0,391
"dividir";0;0;0
"cpc";0;0,004;0
"consubstanciar";0,221;0,97;0,15
"agremiacao";0,001;0,057;0
"virtude";0,083;0,81;0,026
"revestir";0;0;0,018
"regular";0,306;0,158;0,782
"particular";0,003;0,126;0,063
"ocorrencia";0;0,001;0,212
"juntar";0,186;0;0
"indeferir";0;0,19;0
"decorrencia";0,094;0,59;0,014
"convocacao";0,567;0,015;0,002
"consumidor";0;0;0
"vinculante";0;0,005;0,002
"tutela_provisoria";0,274;0,137;0,005
"turma";0;0,013;0
"partido_socialista_brasileiro";0;0,026;0
"colocar";0;0,004;0
"suplementar";0;0;0,092
"secovid";0;0;0,001
"rede";0;0;0
"mesa_diretora";0;0;0
"indicado";0,424;0,918;0,418
"imposto";0;0,005;0,001
"declaratorio";0;0,002;0
"contido";0,027;0,394;0,001
"campanha";0;0;0
"rede_sustentabilidade";0,982;0;0
"medir";0;0;0,001
"ensejar";0;0,102;0,004
"superior_tribunal_de_justica";0;0,169;0
"substancial";0;0;0
"revisao";0,009;0,021;0,521
"requisicao";0;0;0
"recomendacao";0;0;0
"promocao";0;0;0
"principal";0;0,073;0,016
"legislador";0,024;0;0,193
"familia";0;0;0
"definitivo";0,042;0,139;0
"contemplar";0,002;0,329;0,009
"conformidade";0,01;0,001;0
"bolsonaro";0;0;0
