"";"classe 1";"classe 2"
"logo";0,002;1
"chamado";1;0
"associacao";0;1
"improcedente";0;1
"pensar";1;0
"peça";0,066;1
"negativo";0;1
"impeachment";1;0
"sobretudo";1;0
"argüição";0;1
"alcançar";1;0
"afronta";1;0,002
"fazenda";1;0
"depender";1;0
"terceirização";1;0
"proporcionalidade";1;0
"evidenciar";0,002;1
"continuidade";1;0,001
"preservar";1;0
"enfrentamento";1;0
"federado";1;0
"ameaça";0,001;1
"pertinência";0;1
"esfera";1;0
"simples";1;0,004
"consagrar";1;0
"independentemente";1;0
"https";1;0
"meta";1;0
"contratação";1;0
"admissibilidade";0;1
"validade";1;0,541
"recente";1;0
"principal";1;0
"preciso";1;0
"instauração";1;0,08
"incidência";1;0,717
"razoável";1;0
"virtude";1;0,069
"mundo";1;0
"igual";1;0
"elaborar";1;0
"depois";1;0
"penhora";0;1
"obra";1;0
"filho";1;0
"construção";1;0
"incompatível";1;0
"anteriormente";0,521;1
"milhão";1;0
"universitário";1;0
"sindical";0;1
"ajuizado";0;1
"eis";0;1
"vacina";1;0
"recursal";0;1
"limitar";1;0
"instalação";1;0
"honorário";1;0
"pleito";1;0,001
"revista";1;0
"monocrático";0;1
"ingresso";1;0,008
"governamental";1;0
"cultural";1;0
"indivíduo";1;0
"conter";1;0
"alto";1;0
"condução";1;0
"vigor";1;0
"veto";1;0,647
"formação";1;0
"audiência";1;0
"eleger";1;0,008
"participar";1;0,007
"morte";1;0
"arguente";0;1
"retirar";1;0
"instância";1;0,452
"especificamente";1;0,006
"americano";1;0
"retrocesso";1;0
"integral";1;0
"dimensão";1;0
"comprovar";1;0,001
"referendar";0;1
"patrimônio";1;0
"ocasião";0;1
"escolar";1;0
"avaliação";1;0
"programação";1;0
"planejamento";1;0
"examinar";0;1
"cnj";1;0
"perspectiva";1;0
"parcela";1;0
"remuneração";1;0
"cuidar";0,023;1
"rural";1;0
"alínea";1;0
"invocar";0;1
"equilibrado";1;0
"encaminhar";1;0
"referência";1;0
"flávio";0;1
"fl";1;0,098
"correspondente";1;0
"viii";1;0
"comunicação";1;0
"protocolo";1;0
"extrato";0;1
"médico";1;0,002
"contemplar";1;0
"novembro";0;1
"distinto";1;0
"vênia";0;1
"denúncia";1;0
"exploração";1;0
"proceder";1;0
"positivo";1;0
"conceito";1;0
"assessorar";0,007;1
"acabar";1;0
"restringir";1;0
"notadamente";1;0
"suposto";0;1
"estatuto";1;0
"vice";1;0,001
"floresta";1;0
"colegiado";1;0,165
"urgência";0,001;1
"ibama";1;0
"primário";1;0
"extinção";1;0,473
"longo";1;0
"origem";1;0
"fixação";1;0
"efetivamente";1;0
"sanção";1;0
"obrigar";1;0
"fossar";1;0
"concurso";1;0
"agravar";0;1
"fundado";1;0
"dotação";1;0
"ceará";0;1
"viabilizar";1;0
"junho";0;1
"movimento";1;0
"anotar";0,001;1
"indulto";1;0
"exclusivamente";1;0
"conduzir";1;0
