216;31;164
77;58;136
387;182;16
129;27;163
92;27;146
87;47;139
noventa;9;183
1946;14;178
terço;12;177
cinquenta;7;170
79;37;143
y;0;59
98;35;140
91;37;145
105;45;124
145;58;119
260;24;148
caminho;18;156
61;27;145
207;26;150
125;55;119
709;99;76
sete;6;162
0;41;113
81;34;142
1980;40;117
76;34;135
205;19;149
165;18;158
1986;25;129
180;13;162
74;37;128
73;23;139
169;60;111
074;23;132
alguém;8;157
277;48;117
u;19;117
quarenta;4;159
500;62;98
quinze;5;163
175;79;82
204;23;139
97;43;116
159;23;138
485;93;64
833;31;114
556;103;53
155;41;116
109;23;126
quinto;15;128
524;73;81
68;29;122
275;105;48
163;37;115
194;17;139
1985;23;114
854;87;59
405;122;30
1979;40;98
746;72;68
1969;16;125
ai;91;41
224;47;98
89;27;106
200;13;123
394;10;131
te;58;37
227;24;113
oitenta;2;138
850;91;42
651;41;94
201;42;93
1987;24;99
1984;24;90
0000;77;46
303;43;94
302;51;84
150;23;110
pro;23;54
120;16;116
94;28;101
127;33;94
78;18;105
563;47;83
128;27;101
63;16;110
doze;9;116
83;18;107
527;19;107
186;69;57
setenta;2;121
483;15;107
1974;15;109
635;78;37
190;74;49
exceto;13;112
1975;15;106
467;36;83
019;36;85
zero;5;105
713;85;26
1965;11;106
706;81;29
décimo;7;96
231;23;88
158;26;91
112;24;89
284;38;76
212;36;76
851;52;50
319;36;76
210;34;80
478;12;98
198;10;99
1977;23;87
135;21;85
964;61;34
195;34;75
444;46;56
324;77;23
1968;10;96
116;18;89
1981;14;90
184;41;50
022;74;34
264;18;84
378;88;16
82;19;84
450;36;60
183;26;71
178;22;67
130;45;55
342;57;41
sexto;24;72
341;53;41
1966;10;85
220;15;84
137;25;73
113;24;73
você;1;77
504;29;67
191;40;55
cem;9;82
117;27;66
593;21;71
177;33;60
duzentos;1;90
857;36;45
1978;11;64
139;35;52
108;30;61
590;58;31
1971;22;66
171;38;54
121;16;69
107;28;54
185;22;69
124;28;49
587;29;57
491;31;56
104;28;57
142;12;77
132;18;70
k;10;75
853;61;26
640;41;48
552;71;14
188;11;75
154;22;63
015;34;50
237;73;12
800;34;47
731;46;39
564;29;56
1976;17;62
874;33;49
513;33;45
400;9;74
339;32;50
317;20;62
305;40;39
938;13;70
708;42;40
126;19;55
906;15;67
714;46;29
672;64;14
215;17;60
795;25;57
152;30;50
141;32;46
131;19;52
898;48;33
586;30;51
797;16;64
437;47;30
245;19;60
160;12;60
157;26;53
781;26;48
443;23;52
300;5;66
151;12;61
119;29;44
984;28;41
540;17;60
288;16;60
214;7;68
153;31;42
trezentos;0;70
722;57;14
323;38;31
278;27;43
2030;0;70
per;7;62
156;17;53
136;22;42
106;10;64
950;29;45
146;21;50
quinhentos;1;68
265;22;51
1964;11;60
143;17;52
138;31;41
123;13;52
014;35;37
249;57;15
208;16;51
193;14;55
148;26;39
691;43;25
605;5;64
307;46;23
253;32;35
223;20;49
203;24;43
985;11;52
367;22;40
321;22;43
267;27;42
1983;7;60
172;25;43
775;26;42
620;54;13
592;35;34
2025;3;66
202;17;49
1973;13;52
935;19;42
828;45;16
806;17;48
619;12;55
579;16;49
388;53;13
279;23;42
259;7;60
235;17;45
1891;2;65
164;23;45
149;20;46
118;11;48
pró;5;31
707;20;45
566;44;22
565;29;36
239;15;50
quatrocentos;0;58
981;20;45
756;41;21
601;42;21
499;26;40
461;41;21
360;18;47
675;15;48
501;47;16
381;32;31
